************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2024-12-09 12:42:30
Simulation start date: 2018-01-01
Simulation end date: 2018-05-11
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 Wheat -- CSSRI
************************************************************************
Year-DOY  Year  DOY  DOW        Date   ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig IrrLoss    Rain  Runoff  Year  DOY  DOW        Date
2018-015  2018  015  Mon  2018-01-15    3.880 0.300 0.300 0.050 1.192 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.164  36.960 -99.999 -99.999 0.300 0.703  25.999 1.000 0.300  1.164  1.164   0.000 -99.999  12.609   0.341 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  015  Mon  2018-01-15  
2018-016  2018  016  Tue  2018-01-16    3.850 0.300 0.300 0.050 1.188 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.155  36.960 -99.999 -99.999 0.300 0.704  26.012 1.000 0.300  1.155  1.155   0.000 -99.999  13.764   0.372 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  016  Tue  2018-01-16  
2018-017  2018  017  Wed  2018-01-17    3.060 0.300 0.300 0.050 1.167 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.918  36.960 -99.999 -99.999 0.300 0.713  26.363 1.000 0.300  0.918  0.918   0.000 -99.999  14.682   0.397 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  017  Wed  2018-01-17  
2018-018  2018  018  Thu  2018-01-18    3.070 0.300 0.300 0.050 1.162 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.921  36.960 -99.999 -99.999 0.300 0.713  26.358 1.000 0.300  0.921  0.921   0.000 -99.999  15.603   0.422 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  018  Thu  2018-01-18  
2018-019  2018  019  Fri  2018-01-19    3.570 0.300 0.300 0.050 1.174 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.071  36.960 -99.999 -99.999 0.300 0.707  26.137 1.000 0.300  1.071  1.071   0.000 -99.999  16.674   0.451 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  019  Fri  2018-01-19  
2018-020  2018  020  Sat  2018-01-20    3.760 0.300 0.300 0.050 1.190 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.128  36.960 -99.999 -99.999 0.300 0.705  26.052 1.000 0.300  1.128  1.128   0.000 -99.999  17.802   0.482 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  020  Sat  2018-01-20  
2018-021  2018  021  Sun  2018-01-21    2.800 0.300 0.300 0.050 1.169 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.840  36.960 -99.999 -99.999 0.300 0.716  26.478 1.000 0.300  0.840  0.840   0.000 -99.999  18.642   0.504 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  021  Sun  2018-01-21  
2018-022  2018  022  Mon  2018-01-22    2.720 0.300 0.300 0.050 1.160 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.816  36.960 -99.999 -99.999 0.300 0.717  26.514 1.000 0.300  0.816  0.816   0.000 -99.999  19.458   0.526 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  022  Mon  2018-01-22  
2018-023  2018  023  Tue  2018-01-23    1.150 0.300 0.300 0.050 1.163 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.345  36.960 -99.999 -99.999 0.300 0.736  27.210 1.000 0.300  0.345  0.345   0.000 -99.999  19.803   0.536 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  023  Tue  2018-01-23  
2018-024  2018  024  Wed  2018-01-24    1.870 0.300 0.300 0.050 1.159 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.561  36.960 -99.999 -99.999 0.300 0.728  26.891 1.000 0.300  0.561  0.561   0.000 -99.999  20.364   0.551 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  024  Wed  2018-01-24  
2018-025  2018  025  Thu  2018-01-25    2.620 0.300 0.300 0.050 1.172 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.786  36.960 -99.999 -99.999 0.300 0.719  26.558 1.000 0.300  0.786  0.786   0.000 -99.999  21.150   0.572 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  025  Thu  2018-01-25  
2018-026  2018  026  Fri  2018-01-26    2.210 0.300 0.300 0.050 1.163 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.663  36.960 -99.999 -99.999 0.300 0.723  26.740 1.000 0.300  0.663  0.663   0.000 -99.999  21.813   0.590 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  026  Fri  2018-01-26  
2018-027  2018  027  Sat  2018-01-27    2.480 0.300 0.300 0.050 1.163 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.744  36.960 -99.999 -99.999 0.300 0.720  26.620 1.000 0.300  0.744  0.744   0.000 -99.999  22.557   0.610 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  027  Sat  2018-01-27  
2018-028  2018  028  Sun  2018-01-28    2.590 0.300 0.300 0.050 1.166 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.777  36.960 -99.999 -99.999 0.300 0.719  26.571 1.000 0.300  0.777  0.777   0.000 -99.999  23.334   0.631 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  028  Sun  2018-01-28  
2018-029  2018  029  Mon  2018-01-29    3.090 0.300 0.300 0.050 1.174 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  0.927  36.960 -99.999 -99.999 0.300 0.713  26.350 1.000 0.300  0.927  0.927   0.000 -99.999  24.261   0.656 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  029  Mon  2018-01-29  
2018-030  2018  030  Tue  2018-01-30    4.620 0.300 0.300 0.050 1.194 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.386  36.960 -99.999 -99.999 0.300 0.695  25.671 1.000 0.300  1.386  1.386   0.000 -99.999  25.647   0.694 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  030  Tue  2018-01-30  
2018-031  2018  031  Wed  2018-01-31    4.780 0.300 0.300 0.050 1.191 0.000 1.000 1.000  18.045 0.000 0.000  0.000   0.000 0.300  1.434  36.960 -99.999 -99.999 0.300 0.693  25.600 0.996 0.299  1.428  1.428   0.000 -99.999  27.075   0.733 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  031  Wed  2018-01-31  
2018-032  2018  032  Thu  2018-02-01    4.040 0.328 0.328 0.082 1.167 0.028 1.000 0.972  18.045 0.000 0.000  0.000   0.000 0.328  1.326  40.656 -99.999 -99.999 0.330 0.697  28.335 1.000 0.328  1.326  1.326   0.000 -99.999  28.402   0.699 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  032  Thu  2018-02-01  
2018-033  2018  033  Fri  2018-02-02    3.450 0.357 0.357 0.113 1.153 0.057 1.000 0.943  18.045 0.000 0.000  0.000   0.000 0.357  1.230  44.352 -99.999 -99.999 0.360 0.701  31.081 1.000 0.357  1.230  1.230   0.000 -99.999  29.632   0.668 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  033  Fri  2018-02-02  
2018-034  2018  034  Sat  2018-02-03    3.650 0.385 0.385 0.145 1.166 0.083 1.000 0.917  18.045 0.000 0.000  0.000   0.000 0.385  1.405  48.048 -99.999 -99.999 0.390 0.694  33.335 1.000 0.385  1.405  1.405   0.000 -99.999  31.037   0.646 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  034  Sat  2018-02-03  
2018-035  2018  035  Sun  2018-02-04    3.820 0.413 0.413 0.177 1.174 0.108 1.000 0.892  18.045 0.000 0.000  0.000   0.000 0.413  1.579  51.744 -99.999 -99.999 0.420 0.687  35.540 1.000 0.413  1.579  1.579   0.000 -99.999  32.616   0.630 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  035  Sun  2018-02-04  
2018-036  2018  036  Mon  2018-02-05    3.060 0.442 0.442 0.208 1.154 0.138 1.000 0.862  18.045 0.000 0.000  0.000   0.000 0.442  1.351  55.440 -99.999 -99.999 0.450 0.696  38.583 1.000 0.442  1.351  1.351   0.000 -99.999  33.968   0.613 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  036  Mon  2018-02-05  
2018-037  2018  037  Tue  2018-02-06    4.250 0.470 0.470 0.240 1.197 0.155 1.000 0.845  18.045 0.000 0.000  0.000   0.000 0.470  1.997  59.136 -99.999 -99.999 0.480 0.670  39.627 1.000 0.470  1.997  1.997   0.000 -99.999  35.965   0.608 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  037  Tue  2018-02-06  
2018-038  2018  038  Wed  2018-02-07    4.050 0.498 0.498 0.272 1.196 0.180 1.000 0.820  18.045 0.000 0.000  0.000   0.000 0.498  2.018  62.832 -99.999 -99.999 0.510 0.669  42.052 1.000 0.498  2.018  2.018   0.000 -99.999  37.983   0.605 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  038  Wed  2018-02-07  
