Method,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Irrig,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_end
DSR,1994,135,1994-07-15,madDs,0.94,568.037,597.787,592.525,236.019,356.506,561.78,5.584,548.312,678.77,882.401,16,42.423,73.412
DSR,1994,135,1994-07-01,mad,0.06,587.529,588.903,554.274,215.292,338.982,409.39,4.327,698.57,301.203,391.564,33,9.127,36.739
DSR,1994,145,1994-05-15,madDs,0.75,815.413,772.408,768.097,374.695,393.402,802.025,6.261,777.21,844.347,1097.651,24,35.181,52.227
DSR,1994,145,1994-05-15,madDs,0.94,815.413,773.426,767.959,375.713,392.245,776.52,6.036,777.21,827.249,1075.423,22,37.602,60.772
DSR,1994,145,1994-05-15,madDs,0.47,815.413,834.158,829.331,436.446,392.886,762.774,5.813,777.21,866.101,1125.932,34,25.474,51.997
DSR,1994,135,1994-07-15,mad,0.06,568.037,571.197,537.664,209.429,328.235,344.441,3.712,548.312,372.823,484.67,40,9.321,39.592
DSR,1994,145,1994-06-01,madDs,0.94,739.685,719.376,712.788,310.646,402.142,759.891,6.208,775.11,746.65,970.645,19,39.297,49.968
DSR,1994,145,1994-05-15,mad,0.06,815.413,802.468,761.73,404.756,356.974,461.886,3.736,777.21,475.902,618.673,32,14.872,30.288
DSR,1994,145,1994-06-01,madDs,0.75,739.685,742.821,736.927,334.091,402.836,865.958,6.931,775.11,885.456,1151.092,25,35.418,58.567
DSR,1994,145,1994-06-01,madDs,0.47,739.685,762.286,758.357,353.556,404.801,750.33,5.942,775.11,795.278,1033.861,30,26.509,62.587
DSR,1994,145,1994-06-15,madDs,0.75,676.086,691.226,686.587,284.885,401.701,777.274,6.613,782.18,741.577,964.051,20,37.079,60.809
DSR,1994,145,1994-06-15,madDs,0.94,676.086,676.053,669.628,269.713,399.915,762.232,6.623,782.18,715.646,930.34,17,42.097,66.879
DSR,1994,145,1994-06-15,madDs,0.47,676.086,699.095,696.477,292.754,403.722,831.453,6.946,782.18,814.409,1058.731,31,26.271,69.571
DSR,1994,145,1994-06-01,mad,0.06,739.685,740.509,697.194,331.779,365.415,458.567,3.949,775.11,410.618,533.803,35,11.732,30.853
