ETref,ETc,ETcadj,E,T,DP,Irrig,IrrLoss,Rain,Runoff,Dr_ini,Dr_end,Year
723.9413782012767,615.5261582589658,573.0479981771151,203.61838699458653,369.4296111825286,676.629419309905,794.4106451263276,0.0,483.440008608,0.0,24.620000000000005,45.59327755026288,1989
717.0030724783734,637.8724029761281,601.6118441697025,247.19954429693584,354.4122998727667,568.2593750555533,751.2285236383871,0.0,477.48002688,0.0,24.620000000000005,14.93480945342796,1990
760.0208533484952,659.4808601489395,607.944224746838,219.25593597657317,388.6882887702649,663.6371038056859,937.5589485346312,0.0,379.55048688,0.0,24.620000000000005,28.21284260482137,1991
717.9641855866183,614.1654835521041,554.0521109285665,227.14602555822003,326.9060853703465,530.7790464889845,829.0911348944038,0.0,314.650030464,0.0,24.620000000000005,14.843765171859808,1992
745.7468741436586,673.7112002901245,619.2881441466532,245.9437110446533,373.3444331019999,772.5849963959324,965.1162919666348,0.0,497.472936768,0.0,24.620000000000005,3.050367760739846,1993
691.5042162405965,588.2574120117405,556.7767000225692,227.57301758876116,329.2036824338082,708.9420051855142,551.1088978933592,0.0,777.209876352,0.0,24.620000000000005,11.171557206584446,1994
762.6075807970983,664.3355340336104,623.8384044631533,280.71456235417406,343.1238421089792,875.1727745416686,783.6339468441371,0.0,771.27732576,0.0,24.620000000000005,17.840253208747825,1995
633.7825239444891,568.0307848744554,534.6091501231623,220.61736095131823,313.99178917184406,608.6541042181998,678.6773527447591,0.0,529.422759936,0.0,24.620000000000005,8.948223698321698,1996
675.2262355961032,586.9883891127345,545.9318140276764,207.856923347993,338.07489067968345,603.7870427509545,659.9470815179466,0.0,524.11948992,0.0,24.620000000000005,39.41978180033896,1997
740.9578403375284,637.9605851027646,563.133448366471,226.6381656075231,336.495282758948,622.9215839272885,790.8263235774074,0.0,401.38002144,0.0,24.620000000000005,67.60749099865463,1998
718.4280349318356,613.9804449352929,564.2763274369735,195.34947620202036,368.9268512349531,693.0442581830771,979.31919912994,0.0,330.467568768,0.0,24.620000000000005,21.299063608353016,1999
700.5927795749436,614.3078856119488,571.4007116050747,213.86986293151347,357.5308486735612,545.5012713668555,810.8371178147139,0.0,360.709962912,0.0,24.620000000000005,19.106280287533323,2000
654.3804483283154,589.8641510549234,540.3204026853116,190.1182927227329,350.2021099625788,453.3794349383968,539.0981233319513,0.0,467.165837664,0.0,24.620000000000005,61.214241485065145,2001
762.1982599017243,657.5527105014354,588.3634358919448,212.07865193201812,376.2847839599267,595.1290130677564,1034.4118656872552,0.0,222.850240416,0.0,24.620000000000005,0.0,2002
678.3185503271877,591.0204580501471,557.6657870346528,228.6367694671936,329.0290175674593,705.270284605391,682.3171508756126,0.0,635.25006432,0.0,24.620000000000005,19.109937615279726,2003
732.5706647405755,588.5226124775581,518.7553175816785,162.42766582910906,356.3276517525694,579.8630601388024,708.4603374398996,0.0,398.232874656,0.0,24.620000000000005,65.67097800017085,2004
758.0363637959779,677.5721037406893,614.982372692201,258.3746176826245,356.6077550095766,611.0397003218184,950.3523164113004,0.0,298.126588608,0.0,24.620000000000005,51.30340784858576,2005
697.3217427955357,608.5613597774146,564.8619509242268,204.70005095403087,360.16189997019586,494.5964571747127,787.9034483060658,0.0,303.749997408,0.0,24.620000000000005,41.56293172623318,2006
742.3325255226848,671.4910939477306,627.9101401916178,243.1691807702083,384.7409594214095,694.2320089998547,984.1560619268208,0.0,382.2269256,0.0,24.620000000000005,29.61916166465168,2007
603.1692871181241,532.4072529184058,492.8513395055916,164.11003088312611,328.74130862246545,627.1087141645282,496.8322167468602,0.0,645.2058672,0.0,24.620000000000005,51.6873340848498,2008
767.8693964417378,650.1075908700492,578.7666021641431,222.05223669876528,356.714365465378,662.099071069444,1056.2004017156169,0.0,258.427820736,0.0,24.620000000000005,0.0,2009
688.3650942681408,584.9263661644244,546.9293443457389,219.1616270599519,327.76771728578694,749.7966849341158,681.6315732086604,0.0,751.28189472,0.0,24.620000000000005,0.0,2010
648.9758636675525,527.905717509565,491.1018447590943,160.7541103352377,330.3477344238566,672.6518493515158,630.3890543761061,0.0,591.7569696,0.0,24.620000000000005,15.376083429948238,2011
774.9447402734893,647.4993625746479,602.468618382284,246.7625717499446,355.7060466323394,728.6541754189607,1014.6051577721312,0.0,352.95416064,0.0,24.620000000000005,37.321714388550895,2012
687.555191898679,596.3903339280829,542.6897963693099,218.5915917133836,324.09820465592634,660.7409747840783,686.662439157296,0.0,523.56000672,0.0,24.620000000000005,66.97455866062599,2013
745.1015465704085,639.1500312367411,583.3878219391846,215.08630118998173,368.3015207492029,703.7652946464189,1181.7207827556113,0.0,151.5853540224,0.0,24.620000000000005,27.610411432669608,2014
707.2781374716047,606.9362728588118,544.3807380041136,209.4428472392179,334.93789076489566,544.3088912925216,789.3775614090273,0.0,308.140013376,0.0,24.620000000000005,64.95973951212981,2015
693.9574190381257,590.2981240882538,530.0887740408194,203.5381467246482,326.5506273161712,503.8751524840926,764.7061239802973,0.0,282.943996992,0.0,24.620000000000005,60.057569288084615,2016
685.6524906909617,601.8319790391786,558.6911453714871,208.69115126277777,349.99999410870936,554.7875438242424,787.0924184849367,0.0,355.008335328,0.0,24.620000000000005,45.13598867693928,2017
697.3520926142156,601.0210861840263,563.3579623646217,228.0807033862061,335.2772589784156,573.6428946317757,690.0939812777333,0.0,484.475254272,0.0,24.620000000000005,36.18630895072823,2018
723.5141539912311,609.3719449309159,573.8716150157059,216.3680315234801,357.50358349222563,482.5485062911153,682.948325475569,0.0,404.107627968,0.0,24.620000000000005,43.144131314445474,2019
