ID,Crop_Type,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Runoff,Irrig,IrrLoss,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_ini,Veff_end,theta0
21,Wheat,2008,125,2008-09-18,mad,0.5,440.156,340.363,339.979,42.381,297.599,157.122,0.509,187.676,0.0,275.856,0.0,358.613,4,68.964,0.0,18.877,0.17
20,Rice,2007,120,2007-05-11,madDs,0.47,751.223,803.606,797.755,409.403,388.353,384.359,3.179,382.227,0.0,892.448,0.0,1160.182,34,26.248,0.0,93.619,0.31
20,Wheat,2007,125,2007-09-18,mad,0.5,482.461,385.705,384.739,63.899,320.84,0.0,0.001,9.208,0.0,377.132,0.0,490.272,7,53.876,0.224,53.469,0.198
18,Rice,2005,120,2005-05-11,madDs,0.47,774.828,820.853,814.458,434.844,379.615,257.218,2.129,298.127,0.0,847.037,0.0,1101.148,33,25.668,0.0,74.295,0.278
18,Wheat,2005,125,2005-09-18,mad,0.5,452.439,363.43,362.786,52.317,310.469,103.984,0.255,129.37,0.0,309.834,0.0,402.785,5,61.967,0.0,24.481,0.174
17,Rice,2004,120,2004-05-11,madDs,0.47,756.341,781.765,775.761,391.827,383.934,429.986,3.654,398.233,0.0,865.286,0.0,1124.872,36,24.036,0.0,58.781,0.252
17,Wheat,2004,125,2004-09-18,mad,0.5,437.396,374.098,373.173,82.388,290.785,0.0,0.0,44.35,0.0,334.473,0.0,434.815,6,55.745,0.0,55.58,0.2
23,Rice,2010,120,2010-05-11,madDs,0.47,714.424,752.04,745.962,405.693,340.269,581.511,4.848,575.51,0.0,819.202,0.0,1064.963,34,24.094,0.0,68.123,0.267
23,Wheat,2010,125,2010-09-18,mad,0.5,414.253,316.882,316.26,41.763,274.497,41.483,0.255,86.692,0.0,274.853,0.0,357.309,4,68.713,0.0,54.331,0.199
22,Rice,2009,120,2009-05-11,madDs,0.47,792.249,853.469,846.764,446.802,399.961,168.931,1.398,120.548,0.0,975.437,0.0,1268.068,39,25.011,0.0,81.2,0.289
22,Wheat,2009,125,2009-09-18,mad,0.5,455.908,378.706,377.57,67.655,309.915,0.0,0.0,17.773,0.0,325.858,0.0,423.616,6,54.31,0.0,17.716,0.169
19,Rice,2006,120,2006-05-11,madDs,0.47,714.321,770.898,765.913,392.573,373.34,274.368,2.269,303.75,0.0,814.455,0.0,1058.791,33,24.68,0.0,78.865,0.285
19,Wheat,2006,125,2006-09-18,mad,0.5,490.177,373.402,372.155,58.665,313.49,0.0,0.0,0.0,0.0,312.553,0.0,406.319,6,52.092,0.0,0.0,0.154
24,Rice,2011,120,2011-05-11,madDs,0.47,671.31,714.685,710.419,372.828,337.59,493.54,4.21,591.757,0.0,724.094,0.0,941.322,31,23.358,0.0,144.828,0.395
24,Wheat,2011,125,2011-09-18,mad,0.5,445.322,333.201,333.201,37.688,295.513,0.0,0.0,10.471,0.0,291.832,0.0,379.382,5,58.366,8.724,29.4,0.178
25,Rice,2012,120,2012-05-11,madDs,0.47,790.738,847.497,840.129,463.213,376.916,425.582,3.519,352.954,0.0,993.703,0.0,1291.814,39,25.48,0.0,81.748,0.29
25,Wheat,2012,125,2012-09-18,mad,0.5,422.954,338.239,337.831,57.032,280.799,12.742,0.003,73.363,0.0,299.199,0.0,388.959,5,59.84,0.0,73.395,0.215
32,Rice,1988,120,1988-05-11,madDs,0.75,745.389,737.514,729.764,389.125,340.639,656.591,5.432,714.73,0.0,717.001,0.0,932.101,24,29.875,0.0,46.184,0.231
