ETref,ETc,ETcadj,E,T,DP,Irrig,IrrLoss,Rain,Runoff,Dr_ini,Dr_end,Year
723.9413782012767,501.32837271305016,486.17696307703056,165.55023126577672,320.6267318112539,295.2628955389056,323.3467505152843,0.0,483.440008608,0.0,24.620000000000005,47.9925501395215,1989
717.0030724783734,494.51703089996505,486.46163558022016,177.4749144945515,308.98672108566865,133.93897845037066,201.36867472494777,0.0,477.48002688,0.0,24.620000000000005,14.93480945342796,1990
760.0208533484952,501.6183364289085,479.12436485532913,143.33438764540904,335.7899772099201,203.84782344656293,349.2695529876144,0.0,379.55048688,0.0,24.620000000000005,27.80579588677626,1991
717.9641855866183,478.8401230967634,450.9919616201083,164.77837750761643,286.2135841124919,54.977533770840935,249.8042973243639,0.0,314.650030464,0.0,24.620000000000005,14.843765171859808,1992
745.7468741436586,518.0950869858838,498.2004496612302,170.63798945302852,327.5624602082016,312.5970526056181,383.6885893362111,0.0,497.472936768,0.0,24.620000000000005,3.050367760739846,1993
691.5042162405965,455.0910222437236,450.3237847519409,162.82466583575922,287.49911891618166,411.8977040970138,147.2028311689142,0.0,777.209876352,0.0,24.620000000000005,11.171557206584446,1994
762.6075807970983,504.11466287509,488.5866980846393,194.9147849766441,293.6719131079952,457.3724289518052,230.73584998952757,0.0,771.27732576,0.0,24.620000000000005,17.221602116301213,1995
633.7825239444891,436.4010019251658,427.7980855909502,154.69557194382077,273.10251364712946,242.5671664739539,205.4079953856335,0.0,529.422759936,0.0,24.620000000000005,8.948223698321698,1996
675.2262355961032,481.23481264842,471.99176195692615,172.60985746382264,299.3819044931035,251.1907784639336,228.904917820397,0.0,524.11948992,0.0,24.620000000000005,43.5197735470736,1997
740.9578403375284,507.6910577963757,466.1460031591172,172.5784998316825,293.5675033274347,146.9130525242785,212.20747854526027,0.0,401.38002144,0.0,24.620000000000005,72.812690040434,1998
718.4280349318356,487.20328722640977,468.9543566919309,146.3083568213261,322.64599987060484,100.92206860666846,291.2287065184854,0.0,330.467568768,0.0,24.620000000000005,21.528620466146563,1999
700.5927795749436,482.40882410980623,467.1450125045717,156.0539511371502,311.09106136742145,128.84583948825173,290.4849939722333,0.0,360.709962912,0.0,24.620000000000005,18.086643179205296,2000
654.3804483283154,471.3973576108965,458.822131410693,143.64421376113617,315.1779176495568,177.95305064231692,181.7536098338149,0.0,467.165837664,0.0,24.620000000000005,61.57074655387841,2001
762.1982599017243,507.54185251198624,485.4231209699986,145.4677413376966,339.955379632302,67.35194077629517,403.2461004561379,0.0,222.850240416,0.0,24.620000000000005,0.0,2002
678.3185503271877,475.10984498893913,466.576128757976,181.8519897611081,284.7241389968679,320.9238091243652,206.67957981555023,0.0,635.25006432,0.0,24.620000000000005,18.888624216055923,2003
732.5706647405755,493.936707676654,463.943178465226,145.48550925028258,318.45766921494334,135.90808071329013,203.51014234001943,0.0,398.232874656,0.0,24.620000000000005,71.35254006014021,2004
758.0363637959779,529.7138051106206,482.61775847647255,188.57628730478427,294.0414711716883,120.50803866582636,308.88092099415445,0.0,298.126588608,0.0,24.620000000000005,69.47685857013116,2005
697.3217427955357,501.19226808187307,485.1367314734189,171.94559226976128,313.1911392036576,80.42304995745974,292.53734509505347,0.0,303.749997408,0.0,24.620000000000005,42.68161222630927,2006
742.3325255226848,541.927882182874,521.812328218655,193.0252101071724,328.7871181114827,117.16656592196236,264.69842141048986,0.0,382.2269256,0.0,24.620000000000005,64.97601646530102,2007
603.1692871181241,430.3681405599317,389.6399936034621,128.2411670355008,261.39882656796124,416.5094826201647,160.94489216105126,0.0,645.2058672,0.0,24.620000000000005,73.3797423617494,2008
767.8693964417378,498.6143888795531,479.3375927776485,151.73738049749417,327.6002122801543,88.01654685777132,382.2848617627546,0.0,258.427820736,0.0,24.620000000000005,0.0,2009
688.3650942681408,443.53376657400383,436.0636794561633,147.84125671707528,288.222422739088,376.21804572290745,200.7803417568094,0.0,751.28189472,0.0,24.620000000000005,0.0,2010
648.9758636675525,426.8176037613226,414.989611064546,128.18910547390524,286.8005055906408,241.13875727845195,122.34649283536632,0.0,591.7569696,0.0,24.620000000000005,15.376083429948238,2011
774.9447402734893,481.8961599451088,466.7913427300482,158.13485608268144,308.6564866473668,146.38971449805297,296.35404610476576,0.0,352.95416064,0.0,24.620000000000005,37.194501258395626,2012
687.555191898679,474.3844249162447,450.5890786790525,166.765485981481,283.8235926975715,233.26395393042705,161.84085388544386,0.0,523.56000672,0.0,24.620000000000005,71.81632813045756,2013
745.1015465704085,480.2591836620995,454.0976248612442,135.71008587000702,318.3875389912372,32.000405677630354,380.6372717053565,0.0,151.5853540224,0.0,24.620000000000005,27.23857064595405,2014
707.2781374716047,484.2649397172812,422.06252492382384,159.36478282294115,262.69774210088264,97.73191434208007,211.35404151126608,0.0,308.140013376,0.0,24.620000000000005,73.74728939991543,2015
693.9574190381257,479.8977892154578,466.6014179440241,164.74416611202116,301.85725183200293,40.82100082610559,246.73815895986976,0.0,282.943996992,0.0,24.620000000000005,51.01382292253027,2016
685.6524906909617,474.3261604932953,461.5962445175301,153.68735395649932,307.9088905610308,131.1857073903158,264.1941687506946,0.0,355.008335328,0.0,24.620000000000005,46.982171818908576,2017
697.3520926142156,485.3071204415687,472.6587050863862,183.1680874154568,289.4906176709294,187.07680143174545,203.9187104926744,0.0,484.475254272,0.0,24.620000000000005,44.700490359789214,2018
723.5141539912311,512.06421535996,504.3681966330878,192.83267881706485,311.53551781602295,123.67068942054512,253.28545555368748,0.0,404.107627968,0.0,24.620000000000005,44.36350388211195,2019
