************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2024-12-09 18:13:17
Simulation start date: 2018-05-15
Simulation end date: 2018-09-12
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 DSR -- CSSRI
************************************************************************
Year-DOY  Year  DOY  DOW        Date    ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig IrrLoss    Rain  Runoff  Year  DOY  DOW        Date   Day
2018-160  2018  160  Sat  2018-06-09    5.550 0.970 0.970 0.050 1.172 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  5.383  41.020 -99.999 -99.999 0.333 0.585  23.982 1.000 0.970  5.383  5.383   3.587 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  25.250   0.000  2018  160  Sat  2018-06-09    25
2018-161  2018  161  Sun  2018-06-10    5.120 0.970 0.970 0.050 1.148 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  4.966  41.676 -99.999 -99.999 0.339 0.601  25.062 1.000 0.970  4.966  4.966   0.000 -99.999   4.966   0.119 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  161  Sun  2018-06-10    26
2018-162  2018  162  Mon  2018-06-11    8.570 0.970 0.970 0.050 1.170 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  8.313  42.332 -99.999 -99.999 0.344 0.467  19.790 1.000 0.970  8.313  8.313   0.000 -99.999  13.279   0.314 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  162  Mon  2018-06-11    27
2018-163  2018  163  Tue  2018-06-12    8.530 0.970 0.970 0.050 1.164 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  8.274  42.988 -99.999 -99.999 0.349 0.469  20.163 1.000 0.970  8.274  8.274   0.000 -99.999  21.553   0.501 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  163  Tue  2018-06-12    28
2018-164  2018  164  Wed  2018-06-13    9.900 0.970 0.970 0.050 1.177 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  9.603  43.645 -99.999 -99.999 0.355 0.416  18.151 0.867 0.841  8.321  8.321   0.000 -99.999  29.875   0.684 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  164  Wed  2018-06-13    29
2018-165  2018  165  Thu  2018-06-14    9.820 0.970 0.970 0.050 1.181 0.000 1.000 1.000  18.019 0.000 0.000  0.000  44.924 0.970  9.525  44.301 -99.999 -99.999 0.360 0.419  18.561 0.560 0.544  5.339  5.339   0.000 -99.999  35.213   0.795 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  165  Thu  2018-06-14    30
2018-166  2018  166  Fri  2018-06-15    8.310 0.980 0.980 0.073 1.168 0.045 1.000 0.955  18.019 0.000 0.000  0.000  44.924 0.980  8.144  44.957 -99.999 -99.999 0.365 0.474  21.321 0.412 0.404  3.357  3.357   0.000 -99.999  38.571   0.858 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  166  Fri  2018-06-15    31
2018-167  2018  167  Sat  2018-06-16    5.990 0.990 0.990 0.097 1.154 0.098 1.000 0.902  18.019 0.000 0.000  0.000  44.924 0.990  5.930  45.614 -99.999 -99.999 0.371 0.563  25.671 0.353 0.350  2.094  2.094   0.000 -99.999   2.094   0.046 -99.999 -99.999 -99.999 -99.999  38.571   0.000   0.000   0.000  2018  167  Sat  2018-06-16    32
2018-168  2018  168  Sun  2018-06-17    5.530 1.000 1.000 0.120 1.145 0.154 1.000 0.846  18.019 0.000 0.000  0.000  44.924 1.000  5.530  46.270 -99.999 -99.999 0.376 0.579  26.781 1.000 1.000  5.530  5.530   0.000 -99.999   7.624   0.165 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  168  Sun  2018-06-17    33
2018-169  2018  169  Mon  2018-06-18    6.150 1.010 1.010 0.143 1.147 0.203 1.000 0.797  18.019 0.000 0.000  0.000  44.924 1.010  6.212  46.926 -99.999 -99.999 0.381 0.552  25.882 1.000 1.010  6.212  6.212   0.000 -99.999  13.836   0.295 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  169  Mon  2018-06-18    34
2018-170  2018  170  Tue  2018-06-19    7.350 1.020 1.020 0.167 1.140 0.266 1.000 0.734  18.019 0.000 0.000  0.000  44.924 1.020  7.497  47.583 -99.999 -99.999 0.387 0.500  23.797 1.000 1.020  7.497  7.497   0.000 -99.999  21.333   0.448 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  170  Tue  2018-06-19    35
2018-171  2018  171  Wed  2018-06-20    7.450 1.030 1.030 0.190 1.132 0.337 1.000 0.663  18.019 0.000 0.000  0.000  44.924 1.030  7.674  48.239 -99.999 -99.999 0.392 0.493  23.785 1.000 1.030  7.674  7.674   0.000 -99.999  29.006   0.601 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  171  Wed  2018-06-20    36
2018-172  2018  172  Thu  2018-06-21    6.980 1.040 1.040 0.213 1.131 0.397 1.000 0.603  18.019 0.000 0.000  0.000  44.924 1.040  7.259  48.895 -99.999 -99.999 0.397 0.510  24.919 0.830 0.863  6.022  6.022   0.000 -99.999  35.028   0.716 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  172  Thu  2018-06-21    37
2018-173  2018  173  Fri  2018-06-22    7.930 1.050 1.050 0.237 1.131 0.457 1.000 0.543  18.019 0.000 0.000  0.000  44.924 1.050  8.326  49.552 -99.999 -99.999 0.403 0.467  23.138 0.550 0.577  4.578  4.578   0.000 -99.999  39.606   0.799 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  173  Fri  2018-06-22    38
2018-174  2018  174  Sat  2018-06-23    8.040 1.060 1.060 0.260 1.144 0.476 1.000 0.524  18.019 0.000 0.000  0.000  44.924 1.060  8.522  50.208 -99.999 -99.999 0.408 0.459  23.051 0.390 0.414  3.327  3.327   0.000 -99.999  42.933   0.855 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  174  Sat  2018-06-23    39
2018-175  2018  175  Sun  2018-06-24    9.000 1.070 1.070 0.283 1.146 0.525 1.000 0.475  18.019 0.000 0.000  0.000  44.924 1.070  9.630  50.864 -99.999 -99.999 0.413 0.415  21.098 0.266 0.285  2.566  2.566   0.000 -99.999   2.566   0.050 -99.999 -99.999 -99.999 -99.999  42.933   0.000   0.000   0.000  2018  175  Sun  2018-06-24    40
2018-176  2018  176  Mon  2018-06-25    9.130 1.080 1.080 0.307 1.147 0.576 1.000 0.424  18.019 0.000 0.000  0.000  44.924 1.080  9.860  51.521 -99.999 -99.999 0.419 0.406  20.896 1.000 1.080  9.860  9.860   0.000 -99.999  12.426   0.241 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  176  Mon  2018-06-25    41
2018-177  2018  177  Tue  2018-06-26    6.430 1.090 1.090 0.330 1.140 0.666 1.000 0.334  18.019 0.000 0.000  0.000  44.924 1.090  7.009  52.177 -99.999 -99.999 0.424 0.520  27.114 1.000 1.090  7.009  7.009   0.000 -99.999  19.435   0.372 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  177  Tue  2018-06-26    42
2018-178  2018  178  Wed  2018-06-27    3.540 1.100 1.100 0.353 1.150 0.682 1.000 0.318  18.019 0.000 0.000  0.000  44.924 1.100  3.894  52.833 -99.999 -99.999 0.429 0.644  34.037 1.000 1.100  3.894  3.894   6.151 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  29.480   0.000  2018  178  Wed  2018-06-27    43
2018-179  2018  179  Thu  2018-06-28    3.730 1.110 1.110 0.377 1.160 0.696 1.000 0.304  18.019 0.000 0.000  0.000  44.924 1.110  4.140  53.489 -99.999 -99.999 0.435 0.634  33.933 1.000 1.110  4.140  4.140  34.450 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  38.590   0.000  2018  179  Thu  2018-06-28    44
2018-180  2018  180  Fri  2018-06-29    6.030 1.120 1.120 0.400 1.170 0.708 1.000 0.292  18.019 0.000 0.000  0.000  44.924 1.120  6.754  54.146 -99.999 -99.999 0.440 0.530  28.689 1.000 1.120  6.754  6.754   0.000 -99.999   6.754   0.125 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  180  Fri  2018-06-29    45
2018-181  2018  181  Sat  2018-06-30    5.620 1.130 1.130 0.423 1.180 0.719 1.000 0.281  18.019 0.000 0.000  0.000  44.924 1.130  6.351  54.802 -99.999 -99.999 0.445 0.546  29.921 1.000 1.130  6.351  6.351   0.000 -99.999  13.104   0.239 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  181  Sat  2018-06-30    46
