************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2024-12-09 18:13:17
Simulation start date: 2018-05-15
Simulation end date: 2018-09-12
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2018 DSR -- CSSRI
************************************************************************
Year-DOY  Year  DOY  DOW        Date    ETref  tKcb   Kcb     h Kcmax    fc    fw   few      De    Kr    Ke      E     DPe    Kc    ETc     TAW TAWrmax    TAWb    Zr     p     RAW    Ks Kcadj ETcadj      T      DP    Dinc      Dr     fDr   Drmax  fDrmax      Db     fDb   Irrig IrrLoss    Rain  Runoff  Year  DOY  DOW        Date   Day
2018-209  2018  209  Sat  2018-07-28    3.680 1.410 1.410 1.077 1.460 0.847 1.000 0.153  18.019 0.000 0.000  0.000  44.924 1.410  5.189  73.179 -99.999 -99.999 0.595 0.592  43.355 1.000 1.410  5.189  5.189   0.000 -99.999   5.189   0.071 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  209  Sat  2018-07-28    74
2018-210  2018  210  Sun  2018-07-29    5.100 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  7.242  73.835 -99.999 -99.999 0.600 0.510  37.680 1.000 1.420  7.242  7.242   0.000 -99.999  12.431   0.168 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  210  Sun  2018-07-29    75
2018-211  2018  211  Mon  2018-07-30    5.630 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  7.995  73.835 -99.999 -99.999 0.600 0.480  35.457 1.000 1.420  7.995  7.995   0.000 -99.999  20.425   0.277 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  211  Mon  2018-07-30    76
2018-212  2018  212  Tue  2018-07-31    5.560 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  7.895  73.835 -99.999 -99.999 0.600 0.484  35.750 1.000 1.420  7.895  7.895   0.000 -99.999  28.321   0.384 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  212  Tue  2018-07-31    77
2018-213  2018  213  Wed  2018-08-01    5.720 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  8.122  73.835 -99.999 -99.999 0.600 0.475  35.079 1.000 1.420  8.122  8.122   0.000 -99.999  36.443   0.494 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  213  Wed  2018-08-01    78
2018-214  2018  214  Thu  2018-08-02    5.780 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  8.208  73.835 -99.999 -99.999 0.600 0.472  34.828 0.959 1.361  7.868  7.868   0.000 -99.999  44.311   0.600 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  214  Thu  2018-08-02    79
2018-215  2018  215  Fri  2018-08-03    5.300 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  7.526  73.835 -99.999 -99.999 0.600 0.499  36.841 0.798 1.133  6.006  6.006   0.000 -99.999  50.317   0.681 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  215  Fri  2018-08-03    80
2018-216  2018  216  Sat  2018-08-04    5.220 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  7.412  73.835 -99.999 -99.999 0.600 0.504  37.176 0.642 0.911  4.755  4.755   0.000 -99.999  55.072   0.746 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  216  Sat  2018-08-04    81
2018-217  2018  217  Sun  2018-08-05    4.850 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  6.887  73.835 -99.999 -99.999 0.600 0.525  38.728 0.534 0.759  3.681  3.681   0.000 -99.999  58.753   0.796 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  217  Sun  2018-08-05    82
2018-218  2018  218  Mon  2018-08-06    1.460 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  2.073  73.835 -99.999 -99.999 0.600 0.717  52.945 0.722 1.025  1.497  1.497   0.000 -99.999  39.810   0.539 -99.999 -99.999 -99.999 -99.999   0.000   0.000  20.440   0.000  2018  218  Mon  2018-08-06    83
2018-219  2018  219  Tue  2018-08-07    2.130 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  3.025  73.835 -99.999 -99.999 0.600 0.679  50.135 1.000 1.420  3.025  3.025   0.000 -99.999  42.835   0.580 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  219  Tue  2018-08-07    84
2018-220  2018  220  Wed  2018-08-08    3.080 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  4.374  73.835 -99.999 -99.999 0.600 0.625  46.151 1.000 1.420  4.374  4.374   0.000 -99.999  38.678   0.524 -99.999 -99.999 -99.999 -99.999   0.000   0.000   8.530   0.000  2018  220  Wed  2018-08-08    85
2018-221  2018  221  Thu  2018-08-09    4.800 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  6.816  73.835 -99.999 -99.999 0.600 0.527  38.938 1.000 1.420  6.816  6.816   0.000 -99.999  45.494   0.616 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  221  Thu  2018-08-09    86
2018-222  2018  222  Fri  2018-08-10    4.540 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  6.447  73.835 -99.999 -99.999 0.600 0.542  40.028 0.838 1.190  5.404  5.404   0.000 -99.999  50.899   0.689 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  222  Fri  2018-08-10    87
2018-223  2018  223  Sat  2018-08-11    4.350 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  6.177  73.835 -99.999 -99.999 0.600 0.553  40.825 0.695 0.987  4.292  4.292   0.000 -99.999  55.191   0.747 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  223  Sat  2018-08-11    88
2018-224  2018  224  Sun  2018-08-12    3.390 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  4.814  73.835 -99.999 -99.999 0.600 0.607  44.851 0.643 0.913  3.097  3.097   0.000 -99.999  58.287   0.789 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  224  Sun  2018-08-12    89
2018-225  2018  225  Mon  2018-08-13    2.890 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  4.104  73.835 -99.999 -99.999 0.600 0.636  46.948 0.578 0.821  2.373  2.373   0.000 -99.999  60.660   0.822 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  225  Mon  2018-08-13    90
2018-226  2018  226  Tue  2018-08-14    4.610 1.420 1.420 1.100 1.470 0.849 1.000 0.151   2.283 0.000 0.000  0.000  44.924 1.420  6.546  73.835 -99.999 -99.999 0.600 0.538  39.735 0.386 0.549  2.529  2.529   0.000 -99.999   2.529   0.034 -99.999 -99.999 -99.999 -99.999  60.660   0.000   0.000   0.000  2018  226  Tue  2018-08-14    91
2018-227  2018  227  Wed  2018-08-15    4.790 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 1.000 0.050  0.240  44.924 1.470  7.041  73.835 -99.999 -99.999 0.600 0.518  38.272 1.000 1.470  7.041  6.802   0.000 -99.999   9.570   0.130 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  227  Wed  2018-08-15    92
2018-228  2018  228  Thu  2018-08-16    4.140 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  5.879  73.835 -99.999 -99.999 0.600 0.565  41.706 1.000 1.420  5.879  5.879   0.000 -99.999   7.089   0.096 -99.999 -99.999 -99.999 -99.999   0.000   0.000   8.360   0.000  2018  228  Thu  2018-08-16    93
2018-229  2018  229  Fri  2018-08-17    4.120 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  5.850  73.835 -99.999 -99.999 0.600 0.566  41.790 1.000 1.420  5.850  5.850   0.000 -99.999  12.940   0.175 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  229  Fri  2018-08-17    94
2018-230  2018  230  Sat  2018-08-18    2.810 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  3.990  73.835 -99.999 -99.999 0.600 0.640  47.283 1.000 1.420  3.990  3.990   0.750 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  17.680   0.000  2018  230  Sat  2018-08-18    95
2018-231  2018  231  Sun  2018-08-19    3.410 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  4.842  73.835 -99.999 -99.999 0.600 0.606  44.767 1.000 1.420  4.842  4.842   0.000 -99.999   4.842   0.066 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  231  Sun  2018-08-19    96
2018-232  2018  232  Mon  2018-08-20    3.890 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  5.524  73.835 -99.999 -99.999 0.600 0.579  42.754 1.000 1.420  5.524  5.524   0.000 -99.999  10.366   0.140 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  232  Mon  2018-08-20    97
2018-233  2018  233  Tue  2018-08-21    4.640 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  6.589  73.835 -99.999 -99.999 0.600 0.536  39.609 1.000 1.420  6.589  6.589   0.000 -99.999  16.955   0.230 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  233  Tue  2018-08-21    98
2018-234  2018  234  Wed  2018-08-22    3.270 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  4.643  73.835 -99.999 -99.999 0.600 0.614  45.354 1.000 1.420  4.643  4.643   0.000 -99.999   7.828   0.106 -99.999 -99.999 -99.999 -99.999   0.000   0.000  13.770   0.000  2018  234  Wed  2018-08-22    99
2018-235  2018  235  Thu  2018-08-23    2.540 1.420 1.420 1.100 1.470 0.849 1.000 0.151  18.019 0.000 0.000  0.000  44.924 1.420  3.607  73.835 -99.999 -99.999 0.600 0.656  48.416 1.000 1.420  3.607  3.607   3.525 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  14.960   0.000  2018  235  Thu  2018-08-23   100
2018-236  2018  236  Fri  2018-08-24    4.680 1.394 1.394 1.100 1.444 0.841 1.000 0.159  18.019 0.000 0.000  0.000  44.924 1.394  6.526  73.835 -99.999 -99.999 0.600 0.539  39.793 1.000 1.394  6.526  6.526   0.000 -99.999   6.526   0.088 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  236  Fri  2018-08-24   101
2018-237  2018  237  Sat  2018-08-25    5.030 1.369 1.369 1.100 1.419 0.833 1.000 0.167  18.019 0.000 0.000  0.000  44.924 1.369  6.886  73.835 -99.999 -99.999 0.600 0.525  38.731 1.000 1.369  6.886  6.886   0.000 -99.999  13.412   0.182 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  237  Sat  2018-08-25   102
2018-238  2018  238  Sun  2018-08-26    4.830 1.343 1.343 1.100 1.393 0.823 1.000 0.177  18.019 0.000 0.000  0.000  44.924 1.343  6.489  73.835 -99.999 -99.999 0.600 0.540  39.903 1.000 1.343  6.489  6.489   0.000 -99.999  19.901   0.270 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  238  Sun  2018-08-26   103
2018-239  2018  239  Mon  2018-08-27    3.650 1.318 1.318 1.100 1.368 0.812 1.000 0.188  18.019 0.000 0.000  0.000  44.924 1.318  4.811  73.835 -99.999 -99.999 0.600 0.608  44.860 1.000 1.318  4.811  4.811   0.000 -99.999  24.712   0.335 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  239  Mon  2018-08-27   104
2018-240  2018  240  Tue  2018-08-28    3.670 1.292 1.292 1.100 1.342 0.800 1.000 0.200  18.019 0.000 0.000  0.000  44.924 1.292  4.743  73.835 -99.999 -99.999 0.600 0.610  45.059 1.000 1.292  4.743  4.743   0.000 -99.999  21.946   0.297 -99.999 -99.999 -99.999 -99.999   0.000   0.000   7.510   0.000  2018  240  Tue  2018-08-28   105
2018-241  2018  241  Wed  2018-08-29    3.160 1.267 1.267 1.100 1.317 0.786 1.000 0.214  18.019 0.000 0.000  0.000  44.924 1.267  4.004  73.835 -99.999 -99.999 0.600 0.640  47.244 1.000 1.267  4.004  4.004   0.000 -99.999  25.949   0.351 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  241  Wed  2018-08-29   106
2018-242  2018  242  Thu  2018-08-30    3.990 1.241 1.241 1.100 1.291 0.770 1.000 0.230  18.019 0.000 0.000  0.000  44.924 1.241  4.954  73.835 -99.999 -99.999 0.600 0.602  44.438 1.000 1.241  4.954  4.954   0.000 -99.999  30.903   0.419 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  242  Thu  2018-08-30   107
2018-243  2018  243  Fri  2018-08-31    4.320 1.216 1.216 1.100 1.266 0.751 1.000 0.249  18.019 0.000 0.000  0.000  44.924 1.216  5.253  73.835 -99.999 -99.999 0.600 0.590  43.554 1.000 1.216  5.253  5.253   0.000 -99.999  36.156   0.490 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  243  Fri  2018-08-31   108
2018-244  2018  244  Sat  2018-09-01    2.940 1.190 1.190 1.100 1.240 0.728 1.000 0.272  18.019 0.000 0.000  0.000  44.924 1.190  3.500  73.835 -99.999 -99.999 0.600 0.660  48.731 1.000 1.190  3.500  3.500   0.000 -99.999  39.656   0.537 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  244  Sat  2018-09-01   109
2018-245  2018  245  Sun  2018-09-02    1.270 1.165 1.165 1.100 1.215 0.702 1.000 0.298   9.584 0.000 0.000  0.000  44.924 1.165  1.480  73.835 -99.999 -99.999 0.600 0.741  54.698 1.000 1.165  1.480  1.480  12.224 -99.999   0.000   0.000 -99.999 -99.999 -99.999 -99.999   0.000   0.000  53.360   0.000  2018  245  Sun  2018-09-02   110
2018-246  2018  246  Mon  2018-09-03    1.840 1.139 1.139 1.100 1.189 0.670 1.000 0.330  18.019 1.000 0.050  0.092  44.924 1.189  2.189  73.835 -99.999 -99.999 0.600 0.712  52.604 1.000 1.189  2.189  2.097   0.000 -99.999   2.189   0.030 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  246  Mon  2018-09-03   111
2018-247  2018  247  Tue  2018-09-04    2.880 1.114 1.114 1.100 1.164 0.630 1.000 0.370  18.019 0.000 0.000  0.000  44.924 1.114  3.208  73.835 -99.999 -99.999 0.600 0.672  49.593 1.000 1.114  3.208  3.208   0.000 -99.999   5.397   0.073 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  247  Tue  2018-09-04   112
2018-248  2018  248  Wed  2018-09-05    3.160 1.088 1.088 1.100 1.138 0.579 1.000 0.421  18.019 0.000 0.000  0.000  44.924 1.088  3.440  73.835 -99.999 -99.999 0.600 0.662  48.909 1.000 1.088  3.440  3.440   0.000 -99.999   8.837   0.120 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  248  Wed  2018-09-05   113
2018-249  2018  249  Thu  2018-09-06    4.240 1.063 1.063 1.100 1.113 0.513 1.000 0.487  18.019 0.000 0.000  0.000  44.924 1.063  4.507  73.835 -99.999 -99.999 0.600 0.620  45.757 1.000 1.063  4.507  4.507   0.000 -99.999  13.344   0.181 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  249  Thu  2018-09-06   114
2018-250  2018  250  Fri  2018-09-07    3.960 1.037 1.037 1.100 1.098 0.370 1.000 0.630  18.019 0.000 0.000  0.000  44.924 1.037  4.108  73.835 -99.999 -99.999 0.600 0.636  46.934 1.000 1.037  4.108  4.108   0.000 -99.999  17.452   0.236 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  250  Fri  2018-09-07   115
2018-251  2018  251  Sat  2018-09-08    4.500 1.012 1.012 1.100 1.093 0.190 1.000 0.810  18.019 0.000 0.000  0.000  44.924 1.012  4.554  73.835 -99.999 -99.999 0.600 0.618  45.618 1.000 1.012  4.554  4.554   0.000 -99.999  22.006   0.298 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  251  Sat  2018-09-08   116
2018-252  2018  252  Sun  2018-09-09    4.400 0.986 0.986 1.100 1.122 0.032 1.000 0.968  18.019 0.000 0.000  0.000  44.924 0.986  4.341  73.835 -99.999 -99.999 0.600 0.626  46.249 1.000 0.986  4.341  4.341   0.000 -99.999  26.347   0.357 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  252  Sun  2018-09-09   117
2018-253  2018  253  Mon  2018-09-10    4.210 0.961 0.961 1.100 1.076   NaN 1.000   NaN     NaN 0.000 0.000  0.000  44.924 0.961  4.046  73.835 -99.999 -99.999 0.600 0.638  47.119 1.000 0.961  4.046  4.046   0.000 -99.999  30.393   0.412 -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  253  Mon  2018-09-10   118
2018-254  2018  254  Tue  2018-09-11    4.310 0.935 0.935 1.100 1.070   NaN 1.000   NaN     NaN   NaN   NaN    NaN  44.924   NaN    NaN  73.835 -99.999 -99.999 0.600   NaN     NaN   NaN   NaN    NaN    NaN     NaN -99.999     NaN     NaN -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  254  Tue  2018-09-11   119
2018-255  2018  255  Wed  2018-09-12    4.150 0.910 0.910 1.100 1.088   NaN 1.000   NaN     NaN   NaN   NaN    NaN  44.924   NaN    NaN  73.835 -99.999 -99.999 0.600   NaN     NaN   NaN   NaN    NaN    NaN     NaN -99.999     NaN     NaN -99.999 -99.999 -99.999 -99.999   0.000   0.000   0.000   0.000  2018  255  Wed  2018-09-12   120
