************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:22
Simulation start date: 2005-05-21
Simulation end date: 2005-09-18
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2005 Rice -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2005-141  2005-05-21    2005  141  Sat  0    10.387   1.558   0.939   0.939   0.000   0.338   0.602   0.050   0.200   0.000   0.150   0.150   1.181   0.150   0.090   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431  17.202  24.450   0.000   0.000   0.000   0.000  17.202  24.431   1.000   1.000   0.154   0.220   0.000
2005-142  2005-05-22    2005  142  Sun  1     9.551   1.433   0.170   0.170   0.000   0.343   0.118   0.050   0.205   0.000   0.150   0.150   1.175   0.150   0.018   0.000   0.000   1.000   1.000   0.000   0.000  41.632   0.000   0.000   0.000   5.646  25.082  17.660  25.475  41.463   0.000  16.381  25.082   1.280   0.000   0.000   0.072   0.356   0.977   5.646
2005-143  2005-05-23    2005  143  Mon  2     8.101   9.437   9.437   1.215   8.222   0.100   1.000   0.050   0.211   0.000   0.150   0.150   1.165   1.165   1.165   1.015   1.000   1.000   1.000   8.222   0.000   0.000   0.000   0.000   0.000   0.072  25.734  18.119   7.627  26.379   0.000   0.646  25.734  17.473   0.000   0.000   0.964   0.279   0.689   0.072
2005-144  2005-05-24    2005  144  Tue  3     9.767  11.492  11.292   1.264  10.027   0.100   0.863   0.050   0.216   0.000   0.150   0.150   1.177   1.177   1.156   1.027   1.000   1.000   1.000   0.848   0.072  17.473   0.000   0.000   0.000   0.266  26.385  18.578   7.820  32.489   0.000   6.104  26.385  12.474   0.000   0.000   0.671   0.304   0.784   0.266
2005-145  2005-05-25    2005  145  Wed  4     9.994  11.837  11.755   1.416  10.338   0.100   0.945   0.050   0.221   0.000   0.150   0.150   1.184   1.184   1.176   1.034   1.000   1.000   1.000  11.186   0.000   0.000   0.000   0.000   0.000   0.000  27.037  19.036   8.013  20.469   0.000   0.000  20.469  19.036   6.568   0.243   1.000   0.246   0.566   0.011
2005-146  2005-05-26    2005  146  Thu  5    10.236   8.131   7.710   1.115   6.595   0.100   0.726   0.050   0.227   0.000   0.150   0.150   1.177   0.794   0.753   0.644   0.627   1.000   1.000   0.000   0.011  25.604   0.000   0.000   0.000   0.700  27.688  19.495   8.206  38.363   0.000  10.675  27.688   8.820   0.000   0.000   0.452   0.323   0.854   0.700
2005-147  2005-05-27    2005  147  Fri  6    10.406  12.281  12.274   1.554  10.720   0.100   0.995   0.050   0.232   0.000   0.150   0.150   1.180   1.180   1.179   1.030   1.000   1.000   1.000  10.720   0.000   0.000   0.000   0.000   0.000   0.000  28.339  19.954   8.399  25.389   0.000   0.000  25.389  19.954   2.951   0.104   1.000   0.263   0.630   0.030
2005-148  2005-05-28    2005  148  Sat  7    11.046   9.250   8.921   1.327   7.594   0.100   0.801   0.050   0.237   0.000   0.150   0.150   1.191   0.837   0.808   0.687   0.661   1.000   1.000   0.000   0.030  22.905   0.000   0.000   0.000   0.588  28.991  20.413   8.592  39.372   0.000  10.381  28.991  10.031   0.000   0.000   0.491   0.320   0.842   0.588
2005-149  2005-05-29    2005  149  Sun  8     9.066  10.610  10.592   1.342   9.250   0.100   0.987   0.050   0.243   0.000   0.150   0.150   1.170   1.170   1.168   1.020   1.000   1.000   1.000   9.250   0.000   0.000   0.000   0.000   0.000   0.000  29.642  20.871   8.786  28.193   0.000   0.000  28.193  20.871   1.450   0.049   1.000   0.270   0.655   0.044
2005-150  2005-05-30    2005  150  Mon  9     8.837   8.247   8.019   1.098   6.921   0.100   0.828   0.050   0.248   0.000   0.150   0.150   1.172   0.933   0.907   0.783   0.766   1.000   1.000   0.000   0.044  22.321   0.000   0.000   0.000   0.782  30.294  21.330   8.979  42.495   0.000  12.201  30.294   9.129   0.000   0.000   0.428   0.325   0.862   0.782
2005-151  2005-05-31    2005  151  Tue  10   11.038  13.116  13.116   1.656  11.460   0.100   1.000   0.050   0.253   0.000   0.150   0.150   1.188   1.188   1.188   1.038   1.000   1.000   1.000  11.460   0.000   0.000   0.000   0.000   0.000   0.000  30.945  21.789   9.172  28.597   0.000   0.000  28.597  21.789   2.348   0.076   1.000   0.267   0.643   0.037
2005-152  2005-06-01    2005  152  Wed  11   11.582   9.039   8.717   1.415   7.302   0.100   0.815   0.050   0.259   0.000   0.150   0.150   1.188   0.780   0.753   0.630   0.607   1.000   1.000   0.000   0.037  24.137   0.000   0.000   0.000   0.735  31.597  22.247   9.365  44.017   0.000  12.420  31.597   9.827   0.000   0.000   0.442   0.324   0.858   0.735
2005-153  2005-06-02    2005  153  Thu  12   10.596  12.480  12.476   1.585  10.890   0.100   0.997   0.050   0.264   0.000   0.150   0.150   1.178   1.178   1.177   1.028   1.000   1.000   1.000  10.890   0.000   0.000   0.000   0.000   0.000   0.000  32.248  22.706   9.558  30.807   0.000   0.000  30.807  22.706   1.442   0.045   1.000   0.271   0.657   0.045
2005-154  2005-06-03    2005  154  Fri  13   11.005   8.987   8.706   1.369   7.337   0.100   0.829   0.050   0.269   0.000   0.150   0.150   1.178   0.817   0.791   0.667   0.648   1.000   1.000   0.000   0.045  24.148   0.000   0.000   0.000   0.798  32.900  23.165   9.751  46.249   0.000  13.349  32.900   9.816   0.000   0.000   0.424   0.326   0.863   0.798
2005-155  2005-06-04    2005  155  Sat  14    9.630  11.242  11.242   1.445   9.797   0.100   1.000   0.050   0.275   0.000   0.150   0.150   1.167   1.167   1.167   1.017   1.000   1.000   1.000   9.797   0.000   0.000   0.000   0.000   0.000   0.069  33.551  23.624   9.944  34.210   0.000   0.658  33.551  22.965   0.000   0.000   0.972   0.278   0.687   0.069
2005-156  2005-06-05    2005  156  Sun  15    9.694  11.357  11.152   1.249   9.903   0.100   0.859   0.050   0.280   0.000   0.150   0.150   1.172   1.172   1.150   1.022   1.000   1.000   1.000   0.000   0.069  22.965   0.000   0.000   0.000   0.536  34.203  24.082  10.137  45.954   0.000  11.751  34.203  12.331   0.000   0.000   0.512   0.318   0.835   0.536
2005-157  2005-06-06    2005  157  Mon  16    9.264  10.942  10.916   1.364   9.552   0.100   0.982   0.050   0.285   0.000   0.150   0.150   1.181   1.181   1.178   1.031   1.000   1.000   1.000   9.552   0.000   0.000   0.000   0.000   0.000   0.000  34.854  24.541  10.330  34.501   0.000   0.000  34.501  24.541   0.353   0.010   1.000   0.275   0.673   0.057
2005-158  2005-06-07    2005  158  Tue  17    7.599   6.866   6.719   0.993   5.727   0.125   0.871   0.050   0.291   0.000   0.150   0.150   1.162   0.904   0.884   0.754   0.745   1.000   1.000   0.000   0.057  24.894   0.000   0.000   0.000   1.340  35.506  25.000  13.190  52.676   0.000  17.170  35.506   7.830   0.000   0.000   0.313   0.335   0.899   1.340
2005-159  2005-06-08    2005  159  Wed  18    7.678   8.907   8.907   1.152   7.755   0.100   1.000   0.050   0.296   0.000   0.150   0.150   1.160   1.160   1.160   1.010   1.000   1.000   1.000   7.755   0.000   0.000   0.000   0.000   0.000   0.185  36.157  25.458  10.716  42.429   0.000   6.272  36.157  19.186   0.000   0.000   0.754   0.297   0.757   0.185
2005-160  2005-06-09    2005  160  Thu  19    9.406  11.031  10.921   1.301   9.620   0.100   0.922   0.050   0.301   0.000   0.150   0.150   1.173   1.173   1.161   1.023   1.000   1.000   1.000   0.000   0.185  19.186   0.000   0.000   0.000   0.643  36.809  25.917  10.909  50.509   0.000  13.700  36.809  12.217   0.000   0.000   0.471   0.321   0.848   0.643
2005-161  2005-06-10    2005  161  Fri  20    9.521  11.223  11.210   1.415   9.795   0.100   0.991   0.050   0.307   0.000   0.150   0.150   1.179   1.179   1.177   1.029   1.000   1.000   1.000   9.795   0.000   0.000   0.000   0.000   0.000   0.075  37.460  26.376  11.103  38.656   0.000   1.196  37.460  25.180   0.000   0.000   0.955   0.280   0.692   0.075
2005-162  2005-06-11    2005  162  Sat  21   11.167  13.261  13.032   1.447  11.586   0.100   0.864   0.050   0.312   0.000   0.150   0.150   1.187   1.187   1.167   1.037   1.000   1.000   1.000   0.000   0.075  25.180   0.000   0.000   0.000   0.496  38.112  26.834  11.296  50.729   0.000  12.617  38.112  14.218   0.000   0.000   0.530   0.316   0.829   0.496
