************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:22
Simulation start date: 2008-05-21
Simulation end date: 2008-09-18
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2008 Rice -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2008-142  2008-05-21    2008  142  Wed  0     4.547   0.682   0.459   0.459   0.000   0.373   0.673   0.050   0.200   0.000   0.150   0.150   1.157   0.150   0.101   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431  17.202  26.988   0.000   0.000   0.000   0.000  17.202  24.431   1.000   1.000   0.154   0.220   0.000
2008-143  2008-05-22    2008  143  Thu  1     4.470   0.670   0.091   0.091   0.000   0.373   0.135   0.050   0.205   0.000   0.150   0.150   1.171   0.150   0.020   0.000   0.000   1.000   1.000   0.000   0.000  41.632   0.000   0.000   0.000   5.873  25.082  17.660  27.742  41.542   0.000  16.459  25.082   1.201   0.000   0.000   0.068   0.356   0.978   5.873
2008-144  2008-05-23    2008  144  Fri  2     5.704   6.627   6.627   0.856   5.771   0.135   1.000   0.050   0.211   0.000   0.150   0.150   1.162   1.162   1.162   1.012   1.000   1.000   1.000   5.771   0.000   0.000   0.000   0.000   0.000   0.140  25.734  18.119  10.291  29.042   0.000   3.308  25.734  14.811   0.000   0.000   0.817   0.292   0.736   0.140
2008-145  2008-05-24    2008  145  Sat  3     4.952   5.747   5.731   0.727   5.004   0.170   0.979   0.050   0.216   0.000   0.150   0.150   1.160   1.160   1.157   1.010   1.000   1.000   1.000   0.000   0.140  14.811   0.000   0.000   0.000   0.995  26.385  18.578  13.303  37.982   0.000  11.597  26.385   6.981   0.000   0.000   0.376   0.330   0.879   0.995
2008-146  2008-05-25    2008  146  Sun  4     5.950   6.876   6.876   0.892   5.984   0.125   1.000   0.050   0.221   0.000   0.150   0.150   1.156   1.156   1.156   1.006   1.000   1.000   1.000   5.984   0.000   0.000   0.000   0.000   0.000   0.127  27.037  19.036  10.012  30.110   0.000   3.074  27.037  15.963   0.000   0.000   0.839   0.290   0.730   0.127
2008-147  2008-05-26    2008  147  Mon  5     6.491   7.516   7.419   0.876   6.543   0.100   0.900   0.050   0.227   0.000   0.150   0.150   1.158   1.158   1.143   1.008   1.000   1.000   1.000   0.000   0.127  15.963   0.000   0.000   0.000   0.727  27.688  19.495   8.206  38.527   0.000  10.839  27.688   8.656   0.000   0.000   0.444   0.324   0.857   0.727
2008-148  2008-05-27    2008  148  Tue  6     8.035   9.395   9.392   1.202   8.190   0.100   0.997   0.050   0.232   0.000   0.150   0.150   1.169   1.169   1.169   1.019   1.000   1.000   1.000   8.190   0.000   0.000   0.000   0.000   0.000   0.062  28.339  19.954   8.399  28.408   0.000   0.068  28.339  19.886   0.000   0.000   0.997   0.276   0.679   0.062
2008-149  2008-05-28    2008  149  Wed  7     7.660   8.886   8.716   0.979   7.737   0.100   0.852   0.050   0.237   0.000   0.150   0.150   1.160   1.160   1.138   1.010   1.000   1.000   1.000   0.000   0.062  19.886   0.000   0.000   0.000   0.607  28.991  20.413   8.592  39.516   0.000  10.525  28.991   9.888   0.000   0.000   0.484   0.320   0.844   0.607
2008-150  2008-05-29    2008  150  Thu  8     7.431   8.597   8.584   1.102   7.482   0.100   0.988   0.050   0.243   0.000   0.150   0.150   1.157   1.157   1.155   1.007   1.000   1.000   1.000   7.482   0.000   0.000   0.000   0.000   0.000   0.071  29.642  20.871   8.786  30.325   0.000   0.683  29.642  20.188   0.000   0.000   0.967   0.279   0.688   0.071
2008-151  2008-05-30    2008  151  Fri  9     8.112   9.420   9.251   1.048   8.203   0.100   0.861   0.050   0.248   0.000   0.150   0.150   1.161   1.161   1.141   1.011   1.000   1.000   1.000   0.000   0.071  20.188   0.000   0.000   0.000   0.594  30.294  21.330   8.979  41.192   0.000  10.898  30.294  10.432   0.000   0.000   0.489   0.320   0.842   0.594
