************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:20
Simulation start date: 1998-05-21
Simulation end date: 1998-09-18
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1998 Rice -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1998-141  1998-05-21    1998  141  Thu  0    10.694   1.604   0.961   0.961   0.000   0.336   0.599   0.050   0.200   0.000   0.150   0.150   1.173   0.150   0.090   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431  17.202  24.317   0.000   0.000   0.000   0.000  17.202  24.431   1.000   1.000   0.154   0.220   0.000
1998-142  1998-05-22    1998  142  Fri  1    12.527   1.879   0.207   0.207   0.000   0.325   0.110   0.050   0.205   0.000   0.150   0.150   1.185   0.150   0.017   0.000   0.000   1.000   1.000   0.000   0.000  41.632   0.000   0.000   0.000   5.544  25.082  17.660  24.148  41.425   0.000  16.343  25.082   1.317   0.000   0.000   0.075   0.356   0.976   5.544
1998-143  1998-05-23    1998  143  Sat  2    14.191  17.002  17.002   2.129  14.873   0.100   1.000   0.050   0.211   0.000   0.150   0.150   1.198   1.198   1.198   1.048   1.000   1.000   1.000  14.873   0.000   0.000   0.000   0.000   0.000   0.000  25.734  18.119   7.627  18.880   0.000   0.000  18.880  18.119   6.854   0.266   1.000   0.243   0.556   0.009
1998-144  1998-05-24    1998  144  Sun  3    11.592   6.054   5.660   1.346   4.315   0.158   0.774   0.050   0.216   0.000   0.150   0.150   1.178   0.522   0.488   0.372   0.362   1.000   1.000   0.000   0.009  24.973   0.000   0.000   0.000   1.049  26.385  18.578  12.345  38.192   0.000  11.807  26.385   6.771   0.000   0.000   0.364   0.331   0.883   1.049
1998-145  1998-05-25    1998  145  Mon  4     9.597  11.211  11.211   1.440   9.772   0.100   1.000   0.050   0.221   0.000   0.150   0.150   1.168   1.168   1.168   1.018   1.000   1.000   1.000   9.772   0.000   0.000   0.000   0.000   0.000   0.000  27.037  19.036   8.013  25.932   0.000   0.000  25.932  19.036   1.105   0.041   1.000   0.271   0.659   0.046
1998-146  1998-05-26    1998  146  Tue  5     9.200   8.181   7.950   1.149   6.801   0.100   0.833   0.050   0.227   0.000   0.150   0.150   1.164   0.889   0.864   0.739   0.729   1.000   1.000   0.000   0.046  20.141   0.000   0.000   0.000   0.662  27.688  19.495   8.206  38.123   0.000  10.435  27.688   9.060   0.000   0.000   0.465   0.322   0.850   0.662
1998-147  1998-05-27    1998  147  Wed  6     9.954  11.648  11.637   1.482  10.155   0.100   0.993   0.050   0.232   0.000   0.150   0.150   1.170   1.170   1.169   1.020   1.000   1.000   1.000  10.155   0.000   0.000   0.000   0.000   0.000   0.000  28.339  19.954   8.399  25.823   0.000   0.000  25.823  19.954   2.516   0.089   1.000   0.265   0.637   0.033
1998-148  1998-05-28    1998  148  Thu  7    11.043   9.622   9.305   1.340   7.965   0.100   0.809   0.050   0.237   0.000   0.150   0.150   1.179   0.871   0.843   0.721   0.701   1.000   1.000   0.000   0.033  22.470   0.000   0.000   0.000   0.541  28.991  20.413   8.592  38.988   0.000   9.997  28.991  10.415   0.000   0.000   0.510   0.318   0.836   0.541
1998-149  1998-05-29    1998  149  Fri  8    11.192  13.163  13.134   1.650  11.484   0.100   0.983   0.050   0.243   0.000   0.150   0.150   1.176   1.176   1.173   1.026   1.000   1.000   1.000  11.484   0.000   0.000   0.000   0.000   0.000   0.000  29.642  20.871   8.786  25.314   0.000   0.000  25.314  20.871   4.328   0.146   1.000   0.258   0.611   0.022
1998-150  1998-05-30    1998  150  Sat  9     9.140   6.975   6.702   1.097   5.604   0.121   0.800   0.050   0.248   0.000   0.150   0.150   1.162   0.763   0.733   0.613   0.606   1.000   1.000   0.000   0.022  25.200   0.000   0.000   0.000   1.040  30.294  21.330  10.863  43.812   0.000  13.518  30.294   7.812   0.000   0.000   0.366   0.331   0.882   1.040
