************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:19
Simulation start date: 1995-09-28
Simulation end date: 1996-01-31
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1995 Wheat -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1995-271  1995-09-28    1995  271  Thu  0     4.598   0.690   0.690   0.690   0.000   0.722   1.000   0.050   0.200   0.000   0.150   0.150   1.156   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431   0.000  17.649  23.735   0.000   0.000   0.000   0.000   0.696   0.028   0.000   0.273   0.665   0.050
1995-272  1995-09-29    1995  272  Fri  1     4.874   0.731   0.731   0.731   0.000   0.721   1.000   0.050   0.222   0.000   0.150   0.150   1.156   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  27.145   0.000  19.565  23.003   0.000   0.000   0.000   0.000   1.427   0.053   0.000   0.257   0.608   0.021
1995-273  1995-09-30    1995  273  Sat  2     4.860   0.729   0.729   0.729   0.000   0.721   1.000   0.050   0.244   0.000   0.150   0.150   1.157   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  29.860   0.000  21.524  22.274   0.000   0.000   0.000   0.000   2.156   0.072   0.000   0.245   0.561   0.010
1995-274  1995-10-01    1995  274  Sun  3     5.264   0.790   0.790   0.790   0.000   0.718   1.000   0.050   0.267   0.000   0.150   0.150   1.160   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  32.574   0.000  23.402  21.485   0.000   0.000   0.000   0.000   2.946   0.090   0.000   0.234   0.522   0.005
1995-275  1995-10-02    1995  275  Mon  4     5.156   0.773   0.773   0.773   0.000   0.719   1.000   0.050   0.289   0.000   0.150   0.150   1.157   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  35.289   0.000  25.375  20.711   0.000   0.000   0.000   0.000   3.719   0.105   0.000   0.226   0.489   0.003
1995-276  1995-10-03    1995  276  Tue  5     5.132   0.770   0.770   0.770   0.000   0.719   1.000   0.050   0.311   0.000   0.150   0.150   1.156   0.150   0.150   0.000   0.000   1.000   1.000  19.875   0.000   0.000   0.000   0.034   0.000   0.000  38.003   0.000  27.332  19.976   0.000   0.000   0.000   0.000   4.455   0.117   0.000   0.218   0.460   0.002
1995-277  1995-10-04    1995  277  Wed  6     4.792   0.731   0.731   0.719   0.012   0.721   1.000   0.050   0.333   0.000   0.150   0.150   1.154   0.152   0.152   0.002   0.002   1.000   1.000  19.887   0.000   0.000   0.000   0.000   0.000   0.000  40.718   0.000  29.348  19.245   0.000   0.000   0.000   0.000   5.185   0.127   0.000   0.212   0.436   0.001
1995-278  1995-10-05    1995  278  Thu  7     4.892   0.742   0.742   0.734   0.008   0.720   1.000   0.050   0.356   0.000   0.150   0.150   1.156   0.152   0.152   0.002   0.002   1.000   1.000  19.895   0.000   0.000   0.000   0.000   0.000   0.000  43.432   0.000  31.285  18.503   0.000   0.000   0.000   0.000   5.927   0.136   0.000   0.206   0.415   0.001
1995-279  1995-10-06    1995  279  Fri  8     5.058   0.764   0.764   0.759   0.005   0.719   1.000   0.050   0.378   0.000   0.150   0.150   1.158   0.151   0.151   0.001   0.001   1.000   1.000  19.900   0.000   0.000   0.000   0.000   0.000   0.000  46.147   0.000  33.200  17.739   0.000   0.000   0.000   0.000   6.691   0.145   0.000   0.201   0.396   0.000
1995-280  1995-10-07    1995  280  Sat  9     5.281   0.796   0.796   0.792   0.004   0.718   1.000   0.050   0.400   0.000   0.150   0.150   1.161   0.151   0.151   0.001   0.001   1.000   1.000  19.904   0.000   0.000   0.000   0.000   0.000   0.000  48.861   0.000  35.091  16.944   0.000   0.000   0.000   0.000   7.487   0.153   0.000   0.196   0.379   0.000
1995-281  1995-10-08    1995  281  Sun  10    4.756   0.715   0.715   0.713   0.002   0.721   1.000   0.050   0.422   0.000   0.150   0.150   1.156   0.150   0.150   0.000   0.000   1.000   1.000  19.906   0.000   0.000   0.000   0.000   0.000   0.000  51.576   0.000  37.206  16.228   0.000   0.000   0.000   0.000   8.202   0.159   0.000   0.192   0.364   0.000
1995-282  1995-10-09    1995  282  Mon  11    4.404   0.662   0.662   0.661   0.001   0.724   1.000   0.050   0.444   0.000   0.150   0.150   1.154   0.150   0.150   0.000   0.000   1.000   1.000  19.907   0.000   0.000   0.000   0.000   0.000   0.000  54.290   0.000  39.281  15.567   0.000   0.000   0.000   0.000   8.864   0.163   0.000   0.189   0.351   0.000
1995-283  1995-10-10    1995  283  Tue  12    3.874   0.582   0.582   0.581   0.001   0.727   1.000   0.050   0.467   0.000   0.150   0.150   1.149   0.150   0.150   0.000   0.000   1.000   1.000  19.907   0.000   0.000   0.000   0.000   0.000   0.000  57.005   0.000  41.427  14.985   0.000   0.000   0.000   0.000   9.446   0.166   0.000   0.186   0.340   0.000
1995-284  1995-10-11    1995  284  Wed  13    4.623   0.694   0.694   0.693   0.001   0.722   1.000   0.050   0.489   0.000   0.150   0.150   1.156   0.150   0.150   0.000   0.000   1.000   1.000  19.908   0.000   0.000   0.000   0.000   0.000   0.000  59.719   0.000  43.131  14.291   0.000   0.000   0.000   0.000  10.140   0.170   0.000   0.183   0.329   0.000
1995-285  1995-10-12    1995  285  Thu  14    4.731   0.710   0.710   0.710   0.000   0.722   1.000   0.050   0.511   0.000   0.150   0.150   1.155   0.150   0.150   0.000   0.000   1.000   1.000  19.908   0.000   0.000   0.000   0.000   0.000   0.000  62.434   0.000  45.052  13.581   0.000   0.000   0.000   0.000  10.850   0.174   0.000   0.180   0.319   0.000
1995-286  1995-10-13    1995  286  Fri  15    4.557   0.684   0.684   0.684   0.000   0.723   1.000   0.050   0.533   0.000   0.150   0.150   1.155   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  65.148   0.000  47.079  12.897   0.000   0.000   0.000   0.000  11.534   0.177   0.000   0.178   0.310   0.000
1995-287  1995-10-14    1995  287  Sat  16    4.684   0.834   0.834   0.834   0.000   0.717   1.000   0.081   0.556   0.024   0.178   0.178   1.149   0.178   0.178   0.000   0.000   1.000   0.976  19.909   0.000   0.000   0.000   0.000   0.000   0.000  67.863   0.000  48.633  12.063   0.000   0.000   0.000   0.000  12.368   0.182   0.000   0.176   0.301   0.000
1995-288  1995-10-15    1995  288  Sun  17    4.382   0.901   0.901   0.901   0.000   0.714   1.000   0.112   0.578   0.048   0.206   0.206   1.141   0.206   0.206   0.000   0.000   1.000   0.952  19.909   0.000   0.000   0.000   0.000   0.000   0.000  70.577   0.000  50.388  11.162   0.000   0.000   0.000   0.000  13.269   0.188   0.000   0.173   0.292   0.000
1995-289  1995-10-16    1995  289  Mon  18    3.406   0.800   0.800   0.800   0.000   0.718   1.000   0.144   0.600   0.070   0.235   0.235   1.159   0.235   0.235   0.000   0.000   1.000   0.930  19.686   0.000   0.000   0.000   0.223   0.000   0.000  73.292   0.000  52.624  10.584   0.000   0.000   0.000   0.000  13.846   0.189   0.000   0.172   0.286   0.000
1995-290  1995-10-17    1995  290  Tue  19    5.156   1.436   1.436   1.362   0.074   0.693   1.000   0.176   0.622   0.093   0.264   0.264   1.159   0.279   0.279   0.014   0.016   1.000   0.907  19.768   0.000   0.000   0.000   0.000   0.000   0.000  76.006   0.000  52.638   9.148   0.000   0.000   0.000   0.000  15.282   0.201   0.000   0.169   0.275   0.000
1995-291  1995-10-18    1995  291  Wed  20    5.080   1.533   1.533   1.489   0.044   0.689   1.000   0.208   0.644   0.117   0.293   0.293   1.149   0.302   0.302   0.009   0.010   1.000   0.883  19.818   0.000   0.000   0.000   0.000   0.000   0.000  78.721   0.000  54.214   7.615   0.000   0.000   0.000   0.000  16.815   0.214   0.000   0.166   0.264   0.000
1995-292  1995-10-19    1995  292  Thu  21    3.716   1.212   1.212   1.193   0.020   0.702   1.000   0.239   0.667   0.142   0.321   0.321   1.128   0.326   0.326   0.005   0.007   1.000   0.858  19.809   0.000   0.000   0.000   0.032   0.000   0.000  81.435   0.000  57.128   6.435   0.000   0.000   0.000   0.000  17.996   0.221   0.000   0.164   0.256   0.000
1995-293  1995-10-20    1995  293  Fri  22    4.437   1.575   1.575   1.549   0.025   0.687   1.000   0.270   0.689   0.163   0.349   0.349   1.134   0.355   0.355   0.006   0.007   1.000   0.837  19.672   0.000   0.000   0.000   0.167   0.000   0.000  84.150   0.000  57.812   5.027   0.000   0.000   0.000   0.000  19.403   0.231   0.000   0.161   0.247   0.000
1995-294  1995-10-21    1995  294  Sat  23    4.199   1.636   1.636   1.583   0.053   0.685   1.000   0.301   0.711   0.188   0.377   0.377   1.121   0.390   0.390   0.013   0.017   1.000   0.812  19.603   0.000   0.000   0.000   0.134   0.000   0.000  86.864   0.000  59.463   3.525   0.000   0.000   0.000   0.000  20.905   0.241   0.000   0.159   0.238   0.000
1995-295  1995-10-22    1995  295  Sun  24    5.531   2.339   2.339   2.248   0.091   0.656   1.000   0.333   0.733   0.204   0.406   0.406   1.153   0.423   0.423   0.016   0.022   1.000   0.796  19.717   0.000   0.000   0.000   0.000   0.000   0.000  89.579   0.000  58.804   1.186   0.000   0.000   0.000   0.000  23.244   0.259   0.000   0.155   0.226   0.000
1995-296  1995-10-23    1995  296  Mon  25    5.597   2.495   2.495   2.439   0.055   0.650   1.000   0.366   0.756   0.227   0.436   0.436   1.152   0.446   0.446   0.010   0.014   1.000   0.773  19.789   0.000   0.000   0.000   0.000   0.000   0.000  92.293   0.000  60.011   0.000   0.000   0.000   0.000   0.000  25.739   0.279   0.000   0.154   0.220   0.000
1995-297  1995-10-24    1995  297  Tue  26    5.551   2.616   2.616   2.583   0.033   0.645   1.000   0.399   0.778   0.250   0.465   0.465   1.152   0.471   0.471   0.006   0.009   1.000   0.750  19.833   0.000   0.000   0.000   0.000   0.000   0.000  95.008   0.000  61.314   0.000   0.000   0.000   0.000   0.000  28.355   0.298   0.000   0.154   0.220   0.000
1995-298  1995-10-25    1995  298  Wed  27    4.882   2.428   2.428   2.411   0.017   0.653   1.000   0.430   0.800   0.280   0.494   0.494   1.131   0.497   0.497   0.003   0.005   1.000   0.720  19.857   0.000   0.000   0.000   0.000   0.000   0.000  97.722   0.000  63.799   0.000   0.000   0.000   0.000   0.000  30.783   0.315   0.000   0.154   0.220   0.000
1995-299  1995-10-26    1995  299  Thu  28    5.080   2.668   2.668   2.656   0.012   0.643   1.000   0.462   0.822   0.303   0.523   0.523   1.134   0.525   0.525   0.002   0.004   1.000   0.697  19.873   0.000   0.000   0.000   0.000   0.000   0.000 100.437   0.000  64.611   0.000   0.000   0.000   0.000   0.000  33.451   0.333   0.000   0.154   0.220   0.000
1995-300  1995-10-27    1995  300  Fri  29    5.156   2.853   2.853   2.845   0.008   0.636   1.000   0.494   0.844   0.325   0.552   0.552   1.139   0.553   0.553   0.002   0.003   1.000   0.675  19.885   0.000   0.000   0.000   0.000   0.000   0.000 103.151   0.000  65.592   0.000   0.000   0.000   0.000   0.000  36.304   0.352   0.000   0.154   0.220   0.000
1995-301  1995-10-28    1995  301  Sat  30    3.897   2.262   2.262   2.259   0.004   0.660   1.000   0.525   0.867   0.365   0.580   0.580   1.104   0.580   0.580   0.001   0.002   1.000   0.635  19.891   0.000   0.000   0.000   0.000   0.000   0.000 105.866   0.000  69.820   0.000   0.000   0.000   0.000   0.000  38.566   0.364   0.000   0.154   0.220   0.000
1995-302  1995-10-29    1995  302  Sun  31    5.144   3.133   3.133   3.130   0.004   0.625   1.000   0.557   0.889   0.378   0.608   0.608   1.132   0.609   0.609   0.001   0.001   1.000   0.622  19.896   0.000   0.000   0.000   0.000   0.000   0.000 108.580   0.000  67.827   0.000   0.000   0.000   0.000   0.000  41.699   0.384   0.000   0.154   0.220   0.000
1995-303  1995-10-30    1995  303  Mon  32    4.620   2.946   2.946   2.944   0.002   0.632   1.000   0.589   0.911   0.405   0.637   0.637   1.129   0.638   0.638   0.000   0.001   1.000   0.595  19.900   0.000   0.000   0.000   0.000   0.000   0.000 111.295   0.000  70.355   0.000   0.000   0.000   0.000   0.000  44.646   0.401   0.000   0.154   0.220   0.000
1995-304  1995-10-31    1995  304  Tue  33    4.215   2.808   2.808   2.806   0.001   0.638   1.000   0.620   0.933   0.437   0.666   0.666   1.120   0.666   0.666   0.000   0.001   1.000   0.563  19.902   0.000   0.000   0.000   0.000   0.000   0.000 114.009   0.000  72.704   0.000   0.000   0.000   0.000   0.000  47.453   0.416   0.000   0.154   0.220   0.000
1995-305  1995-11-01    1995  305  Wed  34    4.692   3.261   3.261   3.260   0.001   0.620   1.000   0.652   0.956   0.458   0.695   0.695   1.132   0.695   0.695   0.000   0.001   1.000   0.542  19.904   0.000   0.000   0.000   0.000   0.000   0.000 116.724   0.000  72.318   0.000   0.000   0.000   0.000   0.000  50.714   0.434   0.000   0.154   0.220   0.000
1995-306  1995-11-02    1995  306  Thu  35    5.033   3.646   3.646   3.645   0.001   0.604   1.000   0.685   0.978   0.480   0.724   0.724   1.142   0.724   0.724   0.000   0.000   1.000   0.520  19.906   0.000   0.000   0.000   0.000   0.000   0.000 119.438   0.000  72.160   0.000   0.000   0.000   0.000   0.000  54.360   0.455   0.000   0.154   0.220   0.000
1995-307  1995-11-03    1995  307  Fri  36    4.676   3.525   3.525   3.525   0.000   0.609   1.000   0.717   1.000   0.507   0.754   0.754   1.145   0.754   0.754   0.000   0.000   1.000   0.493  19.907   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  74.391   0.000   0.000   0.000   0.000   0.000  57.885   0.474   0.000   0.154   0.220   0.000
1995-308  1995-11-04    1995  308  Sat  37    3.455   2.700   2.700   2.700   0.000   0.642   1.000   0.748   1.022   0.574   0.782   0.782   1.096   0.782   0.782   0.000   0.000   1.000   0.426  19.907   0.000   0.000   0.000   0.000   0.000   0.000 124.868   0.000  80.163   0.000   0.000   0.000   0.000   0.000  60.586   0.485   0.000   0.154   0.220   0.000
1995-309  1995-11-05    1995  309  Sun  38    3.839   3.108   3.108   3.108   0.000   0.626   1.000   0.779   1.044   0.599   0.810   0.810   1.104   0.810   0.810   0.000   0.000   1.000   0.401  19.908   0.000   0.000   0.000   0.000   0.000   0.000 127.582   0.000  79.824   0.000   0.000   0.000   0.000   0.000  63.694   0.499   0.000   0.154   0.220   0.000
1995-310  1995-11-06    1995  310  Mon  39    3.738   3.132   3.132   3.132   0.000   0.625   1.000   0.810   1.067   0.631   0.838   0.838   1.105   0.838   0.838   0.000   0.000   1.000   0.369  19.908   0.000   0.000   0.000   0.000   0.000   0.000 130.297   0.000  81.398   0.000   0.000   0.000   0.000   0.000  66.826   0.513   0.000   0.154   0.220   0.000
1995-311  1995-11-07    1995  311  Tue  40    3.829   3.316   3.316   3.316   0.000   0.617   1.000   0.841   1.089   0.668   0.866   0.866   1.102   0.866   0.866   0.000   0.000   1.000   0.332   0.000   0.000  66.826   0.000   0.000   0.000   0.000 133.011   0.000  82.116  63.510   0.000   0.000   0.000   0.000   3.316   0.025   0.000   0.212   0.438   0.001
1995-312  1995-11-08    1995  312  Wed  41    3.213   3.473   3.473   2.870   0.603   0.611   1.000   0.872   1.111   0.724   0.893   0.893   1.081   1.081   1.081   0.188   1.000   1.000   0.276   2.183   0.000   0.000   0.000   0.000   0.000   0.000 135.726   0.000  82.938  60.037   0.000   0.000   0.000   0.000   6.789   0.050   0.000   0.208   0.422   0.001
1995-313  1995-11-09    1995  313  Thu  42    3.636   3.984   3.984   3.350   0.634   0.591   1.000   0.903   1.133   0.744   0.921   0.921   1.096   1.096   1.096   0.174   1.000   1.000   0.256   4.659   0.000   0.000   0.000   0.000   0.000   0.000 138.440   0.000  81.768  56.053   0.000   0.000   0.000   0.000  10.773   0.078   0.000   0.203   0.405   0.001
1995-314  1995-11-10    1995  314  Fri  43    4.447   4.992   4.992   4.226   0.765   0.550   1.000   0.935   1.156   0.751   0.950   0.950   1.122   1.122   1.122   0.172   1.000   1.000   0.249   7.738   0.000   0.000   0.000   0.000   0.000   0.000 141.155   0.000  77.681  51.061   0.000   0.000   0.000   0.000  15.765   0.112   0.000   0.198   0.385   0.000
1995-315  1995-11-11    1995  315  Sat  44    3.384   3.655   3.655   3.311   0.344   0.604   1.000   0.966   1.178   0.823   0.978   0.978   1.094   1.080   1.080   0.102   0.875   1.000   0.177   9.683   0.000   0.000   0.000   0.000   0.000   0.000 143.869   0.000  86.871  47.407   0.000   0.000   0.000   0.000  19.420   0.135   0.000   0.194   0.371   0.000
1995-316  1995-11-12    1995  316  Sun  45    5.041   5.599   5.599   5.082   0.517   0.526   1.000   0.999   1.200   0.823   1.008   1.008   1.148   1.111   1.111   0.103   0.735   1.000   0.177  12.608   0.000   0.000   0.000   0.000   0.000   0.000 146.584   0.000  77.109  41.808   0.000   0.000   0.000   0.000  25.019   0.171   0.000   0.189   0.350   0.000
1995-317  1995-11-13    1995  317  Mon  46    4.620   5.028   5.028   4.782   0.246   0.549   1.000   1.028   1.200   0.849   1.035   1.035   1.136   1.088   1.088   0.053   0.525   1.000   0.151  14.231   0.000   0.000   0.000   0.000   0.000   0.000 146.584   0.000  80.456  36.780   0.000   0.000   0.000   0.000  30.047   0.205   0.000   0.185   0.335   0.000
1995-318  1995-11-14    1995  318  Tue  47    4.634   4.967   4.967   4.775   0.192   0.551   1.000   1.028   1.200   0.849   1.030   1.030   1.132   1.072   1.072   0.041   0.408   1.000   0.151  15.499   0.000   0.000   0.000   0.000   0.000   0.000 146.584   0.000  80.817  31.813   0.000   0.000   0.000   0.000  35.013   0.239   0.000   0.180   0.319   0.000
