************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:25
Simulation start date: 2013-09-28
Simulation end date: 2014-01-31
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2013 Wheat -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2013-271  2013-09-28    2013  271  Sat  0     3.571   0.536   0.536   0.536   0.000   0.729   1.000   0.050   0.200   0.000   0.150   0.150   1.150   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431   0.000  17.800  20.289   0.000   0.000   0.000   0.000   4.142   0.170   0.000   0.255   0.600   0.019
2013-272  2013-09-29    2013  272  Sun  1     3.801   0.570   0.570   0.570   0.000   0.727   1.000   0.050   0.222   0.000   0.150   0.150   1.152   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  27.145   0.000  19.740  19.718   0.000   0.000   0.000   0.000   4.712   0.174   0.000   0.243   0.552   0.009
2013-273  2013-09-30    2013  273  Mon  2     2.929   0.439   0.439   0.439   0.000   0.732   1.000   0.050   0.244   0.000   0.150   0.150   1.164   0.150   0.150   0.000   0.000   1.000   1.000   0.000   0.009   0.000   0.000  20.191   0.000  15.039  29.860   0.000  21.870  39.470   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.315   0.825   0.468
2013-274  2013-10-01    2013  274  Tue  3     4.166   4.831   4.831   0.625   4.206   0.557   1.000   0.050   0.267   0.000   0.150   0.150   1.160   1.160   1.160   1.010   1.000   1.000   1.000   4.206   0.000   0.000   0.000   0.000   0.000   0.000  32.574   0.000  18.135  19.599   0.000   0.000   0.000   0.000   4.831   0.148   0.000   0.227   0.495   0.003
2013-275  2013-10-02    2013  275  Wed  4     4.458   5.139   5.139   0.669   4.470   0.544   1.000   0.050   0.289   0.000   0.150   0.150   1.153   1.153   1.153   1.003   1.000   1.000   1.000   8.677   0.000   0.000   0.000   0.000   0.000   0.000  35.289   0.000  19.213  14.460   0.000   0.000   0.000   0.000   9.970   0.283   0.000   0.204   0.407   0.001
2013-276  2013-10-03    2013  276  Thu  5     4.312   4.149   4.149   0.647   3.502   0.584   1.000   0.050   0.311   0.000   0.150   0.150   1.156   0.962   0.962   0.812   0.808   1.000   1.000  12.178   0.000   0.000   0.000   0.000   0.000   0.000  38.003   0.000  22.196  10.312   0.000   0.000   0.000   0.000  14.119   0.372   0.000   0.187   0.344   0.000
2013-277  2013-10-04    2013  277  Fri  6     3.951   2.813   2.813   0.593   2.220   0.637   1.000   0.050   0.333   0.000   0.150   0.150   1.161   0.712   0.712   0.562   0.556   1.000   1.000  14.399   0.000   0.000   0.000   0.000   0.000   0.000  40.718   0.000  25.956   7.499   0.000   0.000   0.000   0.000  16.932   0.416   0.000   0.176   0.304   0.000
2013-278  2013-10-05    2013  278  Sat  7     4.724   2.597   2.597   0.709   1.888   0.646   1.000   0.050   0.356   0.000   0.150   0.150   1.159   0.550   0.550   0.400   0.396   1.000   1.000  16.287   0.000   0.000   0.000   0.000   0.000   0.000  43.432   0.000  28.062   4.901   0.000   0.000   0.000   0.000  19.529   0.450   0.000   0.168   0.271   0.000
2013-279  2013-10-06    2013  279  Sun  8     3.753   1.543   1.543   0.563   0.980   0.688   1.000   0.050   0.378   0.000   0.150   0.150   1.153   0.411   0.411   0.261   0.260   1.000   1.000  17.268   0.000   0.000   0.000   0.000   0.000   0.000  46.147   0.000  31.761   3.358   0.000   0.000   0.000   0.000  21.073   0.457   0.000   0.163   0.253   0.000
2013-280  2013-10-07    2013  280  Mon  9     3.631   1.236   1.236   0.545   0.691   0.701   1.000   0.050   0.400   0.000   0.150   0.150   1.153   0.340   0.340   0.190   0.190   1.000   1.000  17.959   0.000   0.000   0.000   0.000   0.000   0.000  48.861   0.000  34.230   2.122   0.000   0.000   0.000   0.000  22.309   0.457   0.000   0.159   0.240   0.000
2013-281  2013-10-08    2013  281  Tue  10    3.464   1.008   1.008   0.520   0.488   0.710   1.000   0.050   0.422   0.000   0.150   0.150   1.155   0.291   0.291   0.141   0.140   1.000   1.000  18.447   0.000   0.000   0.000   0.000   0.000   0.000  51.576   0.000  36.603   1.114   0.000   0.000   0.000   0.000  23.316   0.452   0.000   0.157   0.230   0.000
2013-282  2013-10-09    2013  282  Wed  11    3.957   1.012   1.012   0.594   0.419   0.710   1.000   0.050   0.444   0.000   0.150   0.150   1.156   0.256   0.256   0.106   0.105   1.000   1.000  18.866   0.000   0.000   0.000   0.000   0.000   0.000  54.290   0.000  38.520   0.102   0.000   0.000   0.000   0.000  24.328   0.448   0.000   0.154   0.221   0.000
2013-283  2013-10-10    2013  283  Thu  12    3.963   0.895   0.895   0.594   0.300   0.714   1.000   0.050   0.467   0.000   0.150   0.150   1.160   0.226   0.226   0.076   0.075   1.000   1.000  12.294   0.000   0.000   0.000   6.872   0.000   0.000  57.005   0.000  40.714   6.080   0.000   0.000   0.000   0.000  18.351   0.322   0.000   0.167   0.269   0.000
