ID,Crop_Type,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Runoff,Irrig,IrrLoss,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_ini,Veff_end,theta0
21,Fallow,2008,10,2008-09-18,NaN,0.0,43.927,21.018,21.018,21.018,0.0,257.566,5.856,183.14,0.0,0.0,0.0,0.0,0,,198.121,102.677,0.257
21,Wheat,2008,125,2008-09-28,mad,0.5,432.881,291.025,291.025,9.987,281.038,0.0,0.0,4.536,0.0,215.378,0.0,279.991,3,71.793,20.624,0.812,0.155
24,Rice,2011,120,2011-05-21,madDs,0.47,616.153,664.682,662.198,344.012,318.186,546.48,4.675,640.408,0.0,670.065,0.0,871.085,29,23.106,0.0,102.56,0.325
24,Fallow,2011,10,2011-09-18,NaN,0.0,54.775,0.0,0.0,0.0,0.0,48.968,0.126,0.0,0.0,0.0,0.0,0.0,0,,171.121,122.153,0.276
24,Wheat,2011,125,2011-09-28,mad,0.5,424.671,277.36,277.36,11.064,266.297,0.0,0.001,10.471,0.0,221.137,0.0,287.478,3,73.712,24.424,30.632,0.179
23,Rice,2010,120,2010-05-21,madDs,0.47,652.972,687.142,682.17,371.806,310.363,818.836,6.882,751.282,0.0,840.466,0.0,1092.606,34,24.72,0.0,91.891,0.307
23,Fallow,2010,10,2010-09-18,NaN,0.0,41.401,19.293,19.293,19.293,0.0,92.543,0.194,61.575,0.0,0.0,0.0,0.0,0,,153.121,102.86,0.257
23,Wheat,2010,125,2010-09-28,mad,0.5,405.955,268.758,268.758,10.279,258.48,11.624,0.0,25.117,0.0,215.911,0.0,280.684,3,71.97,20.624,31.399,0.18
22,Rice,2009,120,2009-05-21,madDs,0.47,746.362,803.994,798.21,428.372,369.838,290.668,2.403,258.428,0.0,923.666,0.0,1200.766,37,24.964,0.0,94.413,0.311
22,Fallow,2009,10,2009-09-18,NaN,0.0,52.463,0.0,0.0,0.0,0.0,34.968,0.089,0.0,0.0,0.0,0.0,0.0,0,,157.121,122.153,0.276
22,Wheat,2009,125,2009-09-28,mad,0.5,434.894,310.988,310.988,25.54,285.448,4.653,0.001,17.773,0.0,282.178,0.0,366.831,4,70.544,24.424,59.695,0.204
27,Rice,2014,120,2014-05-21,madDs,0.47,722.473,762.906,758.05,390.353,367.697,229.69,1.901,151.585,0.0,905.849,0.0,1177.604,39,23.227,0.0,70.575,0.272
27,Fallow,2014,10,2014-09-18,NaN,0.0,63.86,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0,,118.121,118.121,0.272
27,Wheat,2014,125,2014-09-28,mad,0.5,426.864,300.426,300.426,17.147,283.279,0.0,0.001,24.71,0.0,215.12,0.0,279.656,3,71.707,23.624,13.854,0.165
28,Rice,2015,120,2015-05-21,madDs,0.47,691.061,720.634,715.596,367.459,348.137,303.763,2.514,308.14,0.0,763.652,0.0,992.748,32,23.864,0.0,53.352,0.243
28,Fallow,2015,10,2015-09-18,NaN,0.0,46.5,18.374,18.374,18.374,0.0,0.0,0.02,28.24,0.0,0.0,0.0,0.0,0,,89.121,98.987,0.253
28,Wheat,2015,125,2015-09-28,mad,0.5,430.303,289.324,289.324,9.767,279.558,0.0,0.0,1.25,0.0,214.69,0.0,279.097,3,71.563,19.824,0.0,0.154
29,Rice,2016,120,2016-05-21,madDs,0.47,659.18,697.24,692.896,358.742,334.155,257.555,2.246,282.944,0.0,729.59,0.0,948.466,31,23.535,0.0,62.949,0.259
29,Fallow,2016,10,2016-09-18,NaN,0.0,44.46,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0,,105.121,105.121,0.259
29,Wheat,2016,125,2016-09-28,mad,0.5,443.612,311.41,311.41,14.072,297.338,0.0,0.0,60.952,0.0,214.593,0.0,278.971,3,71.531,21.024,37.297,0.185
25,Rice,2012,120,2012-05-21,madDs,0.47,738.726,778.407,771.738,433.938,337.8,435.787,3.604,427.72,0.0,877.385,0.0,1140.6,35,25.068,0.0,130.448,0.371
25,Fallow,2012,10,2012-09-18,NaN,0.0,49.841,19.704,19.704,19.704,0.0,125.279,2.941,30.311,0.0,0.0,0.0,0.0,0,,217.121,102.449,0.256
25,Wheat,2012,125,2012-09-28,mad,0.5,403.671,270.629,270.629,12.116,258.513,2.399,0.001,43.052,0.0,221.886,0.0,288.452,3,73.962,20.424,64.812,0.208
31,Rice,2018,120,2018-05-21,madDs,0.47,675.38,701.023,695.428,374.125,321.302,468.368,3.926,484.475,0.0,733.112,0.0,953.046,30,24.437,0.0,54.857,0.245
31,Fallow,2018,10,2018-09-18,NaN,0.0,39.061,16.016,16.016,16.016,0.0,96.965,0.207,129.235,0.0,0.0,0.0,0.0,0,,91.121,107.375,0.261
31,Wheat,2018,125,2018-09-28,mad,0.5,398.168,265.739,265.739,9.925,255.814,0.0,0.001,8.757,0.0,220.036,0.0,286.047,3,73.345,21.424,36.058,0.184
26,Rice,2013,120,2013-05-21,madDs,0.47,663.584,687.414,682.562,356.999,325.563,465.854,3.898,523.56,0.0,681.462,0.0,885.901,28,24.338,0.0,57.502,0.25
26,Fallow,2013,10,2013-09-18,NaN,0.0,44.25,17.954,17.954,17.954,0.0,5.537,0.031,31.569,0.0,0.0,0.0,0.0,0,,96.121,104.199,0.258
26,Wheat,2013,125,2013-09-28,mad,0.5,398.79,322.235,322.235,50.302,271.933,48.086,0.004,84.009,0.0,281.397,0.0,365.816,4,70.349,20.824,68.492,0.211
30,Rice,2017,120,2017-05-21,madDs,0.47,667.813,706.712,702.539,353.394,349.145,372.03,3.083,355.008,0.0,769.673,0.0,1000.575,31,24.828,0.0,50.82,0.239
30,Fallow,2017,10,2017-09-18,NaN,0.0,48.972,17.604,17.604,17.604,0.0,8.171,0.026,45.203,0.0,0.0,0.0,0.0,0,,85.121,104.549,0.258
30,Wheat,2017,125,2017-09-28,mad,0.5,440.552,285.84,285.84,8.769,277.072,0.0,0.0,0.0,0.0,220.916,0.0,287.191,3,73.639,20.824,7.841,0.16
