************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:52
Simulation start date: 1988-10-29
Simulation end date: 1988-11-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1988 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1988-303  1988-10-29    1988  303  Sat  0     3.946   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.090   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  90.121   0.000   0.000   0.000   0.000  32.032   0.262   0.000   0.244   0.558   0.010
1988-304  1988-10-30    1988  304  Sun  1     3.847   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.087   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  90.121   0.000   0.000   0.000   0.000  32.032   0.262   0.000   0.244   0.558   0.010
1988-305  1988-10-31    1988  305  Mon  2     3.978   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.093   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  90.121   0.000   0.000   0.000   0.000  32.032   0.262   0.000   0.244   0.558   0.010
1988-306  1988-11-01    1988  306  Tue  3     4.028   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.100   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  90.121   0.000   0.000   0.000   0.000  32.032   0.262   0.000   0.244   0.558   0.010
1988-307  1988-11-02    1988  307  Wed  4     3.896   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.094   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  90.121   0.000   0.000   0.000   0.000  32.032   0.262   0.000   0.244   0.558   0.010
1988-308  1988-11-03    1988  308  Thu  5     3.978   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.098   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  90.121   0.000   0.000   0.000   0.000  32.032   0.262   0.000   0.244   0.558   0.010
1988-309  1988-11-04    1988  309  Fri  6     3.851   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.096   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  90.121   0.000   0.000   0.000   0.000  32.032   0.262   0.000   0.244   0.558   0.010
1988-310  1988-11-05    1988  310  Sat  7     3.826   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.101   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  90.121   0.000   0.000   0.000   0.000  32.032   0.262   0.000   0.244   0.558   0.010
1988-311  1988-11-06    1988  311  Sun  8     3.803   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.097   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  90.121   0.000   0.000   0.000   0.000  32.032   0.262   0.000   0.244   0.558   0.010
1988-312  1988-11-07    1988  312  Mon  9     3.599   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.093   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  90.121   0.000   0.000   0.000   0.000  32.032   0.262   0.000   0.244   0.558   0.010
1988-313  1988-11-08    1988  313  Tue  10    3.583   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.092   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  90.121   0.000   0.000   0.000   0.000  32.032   0.262   0.000   0.244   0.558   0.010
