************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:53
Simulation start date: 1999-07-01
Simulation end date: 1999-10-29
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1999 Rice -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1999-182  1999-07-01    1999  182  Thu  0     6.705   1.006   0.649   0.649   0.000   0.360   0.645   0.050   0.200   0.000   0.150   0.150   1.169   0.150   0.097   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431  17.202  26.050   0.000   0.000   0.000   0.000  17.202  24.431   1.000   1.000   0.154   0.220   0.000
1999-183  1999-07-02    1999  183  Fri  1     6.258   0.939   0.121   0.121   0.000   0.362   0.129   0.050   0.205   0.000   0.150   0.150   1.166   0.150   0.019   0.000   0.000   1.000   1.000   0.000   0.000  41.632   0.000   0.000   0.000   5.784  25.082  17.660  26.944  41.511   0.000  16.429  25.082   1.231   0.000   0.000   0.070   0.356   0.978   5.784
1999-184  1999-07-03    1999  184  Sat  2     5.993   6.971   6.971   0.899   6.072   0.121   1.000   0.050   0.211   0.000   0.150   0.150   1.163   1.163   1.163   1.013   1.000   1.000   1.000   6.072   0.000   0.000   0.000   0.000   0.000   0.130  25.734  18.119   9.241  28.756   0.000   3.023  25.734  15.096   0.000   0.000   0.833   0.290   0.731   0.130
1999-185  1999-07-04    1999  185  Sun  3     5.892   6.815   6.753   0.821   5.932   0.127   0.929   0.050   0.216   0.000   0.150   0.150   1.157   1.157   1.146   1.007   1.000   1.000   1.000   0.000   0.130  15.096   0.000   0.000   0.000   0.774  26.385  18.578   9.961  36.970   0.000  10.585  26.385   7.993   0.000   0.000   0.430   0.325   0.861   0.774
1999-186  1999-07-05    1999  186  Mon  4     6.022   6.979   6.979   0.903   6.075   0.121   1.000   0.050   0.221   0.000   0.150   0.150   1.159   1.159   1.159   1.009   1.000   1.000   1.000   6.075   0.000   0.000   0.000   0.000   0.000   0.103  27.037  19.036   9.685  29.217   0.000   2.180  27.037  16.856   0.000   0.000   0.885   0.286   0.715   0.103
1999-187  1999-07-06    1999  187  Tue  5     5.891   6.818   6.742   0.808   5.934   0.127   0.914   0.050   0.227   0.000   0.150   0.150   1.157   1.157   1.145   1.007   1.000   1.000   1.000   0.000   0.103  16.856   0.000   0.000   0.000   0.857  27.688  19.495  10.445  39.228   0.000  11.540  27.688   7.955   0.000   0.000   0.408   0.327   0.868   0.857
1999-188  1999-07-07    1999  188  Wed  6     6.560   7.623   7.623   0.984   6.639   0.100   1.000   0.050   0.232   0.000   0.150   0.150   1.162   1.162   1.162   1.012   1.000   1.000   1.000   6.639   0.000   0.000   0.000   0.000   0.000   0.106  28.339  19.954   8.399  30.748   0.000   2.409  28.339  17.545   0.000   0.000   0.879   0.286   0.717   0.106
1999-189  1999-07-08    1999  189  Thu  7     6.400   7.470   7.364   0.854   6.510   0.101   0.889   0.050   0.237   0.000   0.150   0.150   1.167   1.167   1.151   1.017   1.000   1.000   1.000   0.000   0.106  17.545   0.000   0.000   0.000   0.810  28.991  20.413   8.696  40.824   0.000  11.833  28.991   8.579   0.000   0.000   0.420   0.326   0.865   0.810
1999-190  1999-07-09    1999  190  Fri  8     6.398   7.458   7.458   0.960   6.498   0.102   1.000   0.050   0.243   0.000   0.150   0.150   1.166   1.166   1.166   1.016   1.000   1.000   1.000   6.498   0.000   0.000   0.000   0.000   0.000   0.115  29.642  20.871   8.934  32.556   0.000   2.914  29.642  17.958   0.000   0.000   0.860   0.288   0.723   0.115
1999-191  1999-07-10    1999  191  Sat  9     8.138   9.540   9.410   1.091   8.319   0.100   0.893   0.050   0.248   0.000   0.150   0.150   1.172   1.172   1.156   1.022   1.000   1.000   1.000   0.000   0.115  17.958   0.000   0.000   0.000   0.569  30.294  21.330   8.979  40.989   0.000  10.695  30.294  10.635   0.000   0.000   0.499   0.319   0.839   0.569
1999-192  1999-07-11    1999  192  Sun  10    8.034   9.450   9.432   1.187   8.245   0.100   0.985   0.050   0.253   0.000   0.150   0.150   1.176   1.176   1.174   1.026   1.000   1.000   1.000   8.245   0.000   0.000   0.000   0.000   0.000   0.042  30.945  21.789   9.172  30.988   0.000   0.042  30.945  21.746   0.000   0.000   0.998   0.276   0.678   0.061
1999-193  1999-07-12    1999  193  Mon  11    5.731   6.672   6.574   0.761   5.813   0.133   0.885   0.050   0.259   0.000   0.150   0.150   1.164   1.164   1.147   1.014   1.000   1.000   1.000   0.000   0.061  21.746   0.000   0.000   0.000   1.138  31.597  22.247  12.465  46.118   0.000  14.521  31.597   7.726   0.000   0.000   0.347   0.332   0.888   1.138
1999-194  1999-07-13    1999  194  Tue  12    7.056   8.307   8.307   1.058   7.248   0.100   1.000   0.050   0.264   0.000   0.150   0.150   1.177   1.177   1.177   1.027   1.000   1.000   1.000   7.248   0.000   0.000   0.000   0.000   0.000   0.147  32.248  22.706   9.558  36.674   0.000   4.426  32.248  18.280   0.000   0.000   0.805   0.293   0.740   0.147
1999-195  1999-07-14    1999  195  Wed  13    7.749   9.083   8.977   1.056   7.920   0.100   0.909   0.050   0.269   0.000   0.150   0.150   1.172   1.172   1.158   1.022   1.000   1.000   1.000   0.000   0.147  18.280   0.000   0.000   0.000   0.735  32.900  23.165   9.751  45.831   0.000  12.931  32.900  10.234   0.000   0.000   0.442   0.324   0.858   0.735
1999-196  1999-07-15    1999  196  Thu  14    7.114   8.286   8.283   1.064   7.219   0.100   0.997   0.050   0.275   0.000   0.150   0.150   1.165   1.165   1.164   1.015   1.000   1.000   1.000   7.219   0.000   0.000   0.000   0.000   0.000   0.114  33.551  23.624   9.944  36.813   0.000   3.261  33.551  20.362   0.000   0.000   0.862   0.288   0.722   0.114
1999-197  1999-07-16    1999  197  Fri  15    6.545   7.736   7.630   0.876   6.754   0.100   0.892   0.050   0.280   0.000   0.150   0.150   1.182   1.182   1.166   1.032   1.000   1.000   1.000   0.000   0.114  20.362   0.000   0.000   0.000   1.033  34.203  24.082  10.137  49.430   0.000  15.227  34.203   8.855   0.000   0.000   0.368   0.330   0.881   1.033
1999-198  1999-07-17    1999  198  Sat  16    5.659   6.738   6.738   0.849   5.889   0.130   1.000   0.050   0.285   0.000   0.150   0.150   1.191   1.191   1.191   1.041   1.000   1.000   1.000   5.889   0.000   0.000   0.000   0.000   0.000   0.212  34.854  24.541  13.480  41.659   0.000   6.805  34.854  17.736   0.000   0.000   0.723   0.300   0.767   0.212
1999-199  1999-07-18    1999  199  Sun  17    2.093   2.473   2.473   0.314   2.159   0.301   1.000   0.050   0.291   0.000   0.150   0.150   1.182   1.182   1.182   1.032   1.000   1.000   1.000   0.000   0.212   0.000   0.000  23.375   0.000  25.000  35.506  25.000  31.684  62.349   1.843  25.000  35.506   0.000   0.000   0.000   0.000   0.368   1.000  32.081
1999-200  1999-07-19    1999  200  Mon  18    2.000   2.359   2.359   0.300   2.059   0.306   1.000   0.050   0.296   0.000   0.150   0.150   1.179   1.179   1.179   1.029   1.000   1.000   1.000   0.000  32.081   0.000   0.000  59.479   0.000  25.458  36.157  25.458  32.755  94.469  32.854  25.458  36.157   0.000   0.000   0.000   0.000   0.473   1.000  32.081
1999-201  1999-07-20    1999  201  Tue  19    2.626   3.098   3.098   0.394   2.704   0.276   1.000   0.050   0.301   0.000   0.150   0.150   1.180   1.180   1.180   1.030   1.000   1.000   1.000   2.704  16.068   0.000   0.000  16.068   0.000  25.917  36.809  25.917  30.118  81.981  19.255  25.917  36.809   0.000   0.000   0.000   0.000   0.426   1.000  32.081
1999-202  1999-07-21    1999  202  Wed  20    1.554   1.805   1.805   0.233   1.572   0.328   1.000   0.050   0.307   0.000   0.150   0.150   1.162   1.162   1.162   1.012   1.000   1.000   1.000   1.572  15.314   0.000   0.000  18.018   0.000  26.376  37.460  26.376  36.394  72.277   8.441  26.376  37.460   0.000   0.000   0.000   0.000   0.390   1.000  32.081
1999-203  1999-07-22    1999  203  Thu  21    3.078   3.550   3.550   0.462   3.088   0.258   1.000   0.050   0.312   0.000   0.150   0.150   1.153   1.153   1.153   1.003   1.000   1.000   1.000   4.660   0.000   0.000   0.000   0.000   0.000   0.125  38.112  26.834  29.143  42.351   0.000   4.240  38.112  22.595   0.000   0.000   0.842   0.290   0.729   0.125
