************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:56
Simulation start date: 2007-10-29
Simulation end date: 2007-11-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2007 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2007-302  2007-10-29    2007  302  Mon  0     4.644   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.107   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.121   0.000   0.000   0.000   0.000  44.032   0.360   0.000   0.232   0.513   0.004
2007-303  2007-10-30    2007  303  Tue  1     4.121   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.092   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.121   0.000   0.000   0.000   0.000  44.032   0.360   0.000   0.232   0.513   0.004
2007-304  2007-10-31    2007  304  Wed  2     4.373   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.099   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.121   0.000   0.000   0.000   0.000  44.032   0.360   0.000   0.232   0.513   0.004
2007-305  2007-11-01    2007  305  Thu  3     4.449   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.115   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.121   0.000   0.000   0.000   0.000  44.032   0.360   0.000   0.232   0.513   0.004
2007-306  2007-11-02    2007  306  Fri  4     4.247   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.109   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.121   0.000   0.000   0.000   0.000  44.032   0.360   0.000   0.232   0.513   0.004
2007-307  2007-11-03    2007  307  Sat  5     3.810   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.093   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.121   0.000   0.000   0.000   0.000  44.032   0.360   0.000   0.232   0.513   0.004
2007-308  2007-11-04    2007  308  Sun  6     3.499   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.077   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.121   0.000   0.000   0.000   0.000  44.032   0.360   0.000   0.232   0.513   0.004
2007-309  2007-11-05    2007  309  Mon  7     4.399   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.104   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.121   0.000   0.000   0.000   0.000  44.032   0.360   0.000   0.232   0.513   0.004
2007-310  2007-11-06    2007  310  Tue  8     3.722   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.094   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.121   0.000   0.000   0.000   0.000  44.032   0.360   0.000   0.232   0.513   0.004
2007-311  2007-11-07    2007  311  Wed  9     4.266   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.117   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.121   0.000   0.000   0.000   0.000  44.032   0.360   0.000   0.232   0.513   0.004
2007-312  2007-11-08    2007  312  Thu  10    3.733   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.127   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.121   0.000   0.000   0.000   0.000  44.032   0.360   0.000   0.232   0.513   0.004
