************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:59
Simulation start date: 2016-10-29
Simulation end date: 2016-11-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2016 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2016-303  2016-10-29    2016  303  Sat  0     3.913   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.094   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2016-304  2016-10-30    2016  304  Sun  1     3.282   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.084   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2016-305  2016-10-31    2016  305  Mon  2     3.615   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.088   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2016-306  2016-11-01    2016  306  Tue  3     3.784   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.096   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2016-307  2016-11-02    2016  307  Wed  4     3.670   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.091   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2016-308  2016-11-03    2016  308  Thu  5     3.718   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.089   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2016-309  2016-11-04    2016  309  Fri  6     3.968   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.104   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2016-310  2016-11-05    2016  310  Sat  7     3.897   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.108   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2016-311  2016-11-06    2016  311  Sun  8     3.840   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.100   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2016-312  2016-11-07    2016  312  Mon  9     5.128   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.145   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
2016-313  2016-11-08    2016  313  Tue  10    5.365   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.145   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  93.121   0.000   0.000   0.000   0.000  29.032   0.238   0.000   0.247   0.569   0.011
