ID,Crop_Type,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Runoff,Irrig,IrrLoss,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_ini,Veff_end,theta0
7,Rice,1994,120,1994-07-01,madDs,0.75,529.454,556.205,553.068,216.7,336.368,575.738,5.482,698.57,0.0,497.908,0.0,647.281,14,35.565,0.0,68.303,0.268
7,Fallow,1994,10,1994-10-29,NaN,0.0,45.413,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0,,114.121,114.121,0.268
7,Wheat,1994,125,1994-11-08,mad,0.5,374.557,258.187,258.187,8.524,249.663,20.163,0.001,75.05,0.0,148.408,0.0,192.93,2,74.204,22.824,17.929,0.169
5,Rice,1992,120,1992-07-01,madDs,0.75,551.32,576.918,574.403,246.769,327.634,182.305,1.545,297.55,0.0,508.63,0.0,661.218,17,29.919,0.0,49.954,0.237
5,Fallow,1992,10,1992-10-29,NaN,0.0,45.905,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0,,83.121,83.121,0.237
5,Wheat,1992,125,1992-11-08,mad,0.5,410.31,306.609,306.416,21.925,284.491,0.0,0.0,50.323,0.0,226.029,0.0,293.837,3,75.343,16.624,40.62,0.188
1,Rice,1988,120,1988-07-01,madDs,0.75,522.508,553.028,551.055,220.546,330.509,821.473,7.873,989.876,0.0,436.507,0.0,567.459,13,33.577,0.0,53.855,0.244
1,Fallow,1988,10,1988-10-29,NaN,0.0,42.335,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,,90.121,90.121,0.244
1,Wheat,1988,125,1988-11-08,mad,0.5,410.231,295.074,295.074,9.664,285.41,45.316,0.0,73.896,0.0,222.986,0.0,289.881,3,74.329,18.024,25.258,0.175
8,Rice,1995,120,1995-07-01,madDs,0.75,546.194,569.864,567.549,245.611,321.938,647.325,5.383,706.477,0.0,572.288,0.0,743.975,19,30.12,0.0,64.581,0.262
8,Fallow,1995,10,1995-10-29,NaN,0.0,46.453,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0,,108.121,108.121,0.262
8,Wheat,1995,125,1995-11-08,mad,0.5,409.011,270.891,270.891,6.227,264.664,0.94,0.001,128.309,0.0,75.464,0.0,98.103,1,75.464,21.624,4.601,0.158
2,Rice,1989,120,1989-07-01,madDs,0.75,579.305,614.116,611.267,272.329,338.938,379.428,3.232,444.73,0.0,610.107,0.0,793.139,20,30.505,0.0,64.689,0.262
2,Fallow,1989,10,1989-10-29,NaN,0.0,45.698,0.111,0.111,0.111,0.0,0.0,0.028,0.135,0.0,0.0,0.0,0.0,0,,108.121,108.144,0.262
