************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:59
Simulation start date: 2012-10-29
Simulation end date: 2012-11-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2012 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2012-303  2012-10-29    2012  303  Mon  0     3.965   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.112   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  86.121   0.000   0.000   0.000   0.000  36.032   0.295   0.000   0.240   0.543   0.007
2012-304  2012-10-30    2012  304  Tue  1     3.876   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.106   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  86.121   0.000   0.000   0.000   0.000  36.032   0.295   0.000   0.240   0.543   0.007
2012-305  2012-10-31    2012  305  Wed  2     3.758   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.100   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  86.121   0.000   0.000   0.000   0.000  36.032   0.295   0.000   0.240   0.543   0.007
2012-306  2012-11-01    2012  306  Thu  3     3.762   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.102   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  86.121   0.000   0.000   0.000   0.000  36.032   0.295   0.000   0.240   0.543   0.007
2012-307  2012-11-02    2012  307  Fri  4     3.558   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.097   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  86.121   0.000   0.000   0.000   0.000  36.032   0.295   0.000   0.240   0.543   0.007
2012-308  2012-11-03    2012  308  Sat  5     3.416   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.091   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  86.121   0.000   0.000   0.000   0.000  36.032   0.295   0.000   0.240   0.543   0.007
2012-309  2012-11-04    2012  309  Sun  6     3.149   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.081   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  86.121   0.000   0.000   0.000   0.000  36.032   0.295   0.000   0.240   0.543   0.007
2012-310  2012-11-05    2012  310  Mon  7     3.171   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.081   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  86.121   0.000   0.000   0.000   0.000  36.032   0.295   0.000   0.240   0.543   0.007
2012-311  2012-11-06    2012  311  Tue  8     3.450   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.092   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  86.121   0.000   0.000   0.000   0.000  36.032   0.295   0.000   0.240   0.543   0.007
2012-312  2012-11-07    2012  312  Wed  9     3.585   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.104   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  86.121   0.000   0.000   0.000   0.000  36.032   0.295   0.000   0.240   0.543   0.007
2012-313  2012-11-08    2012  313  Thu  10    3.634   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.114   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  86.121   0.000   0.000   0.000   0.000  36.032   0.295   0.000   0.240   0.543   0.007
