************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:53
Simulation start date: 1998-07-01
Simulation end date: 1998-10-29
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1998 Rice -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1998-182  1998-07-01    1998  182  Wed  0     2.511   0.377   0.264   0.264   0.000   0.385   0.702   0.050   0.200   0.000   0.150   0.150   1.188   0.150   0.105   0.000   0.000   1.000   1.000   3.032   0.000   0.000   0.000  16.877   0.000   0.000  24.431  17.202  27.872  16.613   0.000   0.000  16.613  17.202   7.818   0.320   1.000   0.237   0.531   0.006
1998-183  1998-07-02    1998  183  Thu  1     2.612   3.068   3.029   0.353   2.677   0.277   0.900   0.050   0.205   0.000   0.150   0.150   1.175   1.175   1.160   1.025   1.000   1.000   1.000   0.000   0.006   0.000   0.000  17.385   0.000   0.271  25.082  17.660  20.612  30.968   0.000   5.886  25.082  11.774   0.000   0.000   0.667   0.305   0.785   0.271
1998-184  1998-07-03    1998  184  Fri  2     2.400   2.800   2.800   0.360   2.440   0.288   1.000   0.050   0.211   0.000   0.150   0.150   1.167   1.167   1.167   1.017   1.000   1.000   1.000   0.000   0.271   0.000   0.000  13.614   0.000   3.693  25.734  18.119  21.967  41.512   0.000  15.778  25.734   2.341   0.000   0.000   0.129   0.351   0.958   3.693
1998-185  1998-07-04    1998  185  Sat  3     3.155   3.650   3.650   0.473   3.176   0.254   1.000   0.050   0.216   0.000   0.150   0.150   1.157   1.157   1.157   1.007   1.000   1.000   1.000   3.176   0.000   0.000   0.000   0.000   0.000   0.395  26.385  18.578  19.864  34.169   0.000   7.784  26.385  10.793   0.000   0.000   0.581   0.312   0.813   0.395
1998-186  1998-07-05    1998  186  Sun  4     3.592   4.147   4.147   0.539   3.608   0.234   1.000   0.050   0.221   0.000   0.150   0.150   1.154   1.154   1.154   1.004   1.000   1.000   1.000   0.000   0.395   0.000   0.000  33.482   0.000  19.036  27.037  19.036  18.761  63.109  17.036  19.036  27.037   0.000   0.000   0.000   0.000   0.439   1.000  32.081
1998-187  1998-07-06    1998  187  Mon  5     4.069   4.715   4.715   0.610   4.105   0.211   1.000   0.050   0.227   0.000   0.150   0.150   1.159   1.159   1.159   1.009   1.000   1.000   1.000   4.105  21.359   0.000   0.000  21.359   0.000  19.495  27.688  19.495  17.348  60.717  13.533  19.495  27.688   0.000   0.000   0.000   0.000   0.422   1.000  32.081
1998-188  1998-07-07    1998  188  Tue  6     4.459   5.178   5.178   0.669   4.509   0.193   1.000   0.050   0.232   0.000   0.150   0.150   1.161   1.161   1.161   1.011   1.000   1.000   1.000   4.509  13.323   0.000   0.000  17.428   0.000  19.954  28.339  19.954  16.202  53.471   5.178  19.954  28.339   0.000   0.000   0.000   0.000   0.384   1.000  32.081
1998-189  1998-07-08    1998  189  Wed  7     4.284   4.975   4.975   0.643   4.333   0.201   1.000   0.050   0.237   0.000   0.150   0.150   1.161   1.161   1.161   1.011   1.000   1.000   1.000   8.842   0.000   0.000   0.000   0.000   0.000   0.000  28.991  20.413  17.269  28.542   0.000   0.000  28.542  20.413   0.449   0.015   1.000   0.274   0.671   0.055
1998-190  1998-07-09    1998  190  Thu  8     4.137   3.926   3.926   0.621   3.305   0.243   1.000   0.050   0.243   0.000   0.150   0.150   1.154   0.949   0.949   0.799   0.796   1.000   1.000   0.000   0.055  20.861   0.000   0.000   0.000   1.925  29.642  20.871  21.346  45.478   0.000  15.835  29.642   5.036   0.000   0.000   0.241   0.341   0.922   1.925
1998-191  1998-07-10    1998  191  Fri  9     1.317   1.522   1.522   0.197   1.324   0.339   1.000   0.050   0.248   0.000   0.150   0.150   1.156   1.156   1.156   1.006   1.000   1.000   1.000   0.000   1.925   0.000   0.000  18.638   0.000  21.330  30.294  21.330  30.449  60.669   9.045  21.330  30.294   0.000   0.000   0.000   0.000   0.399   1.000  32.081
1998-192  1998-07-11    1998  192  Sat  10    4.085   4.710   4.710   0.613   4.097   0.212   1.000   0.050   0.253   0.000   0.150   0.150   1.153   1.153   1.153   1.003   1.000   1.000   1.000   4.097   0.000   0.000   0.000   0.000   0.000   0.131  30.945  21.789  19.408  34.629   0.000   3.684  30.945  18.105   0.000   0.000   0.831   0.291   0.732   0.131
