************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:59
Simulation start date: 2017-10-29
Simulation end date: 2017-11-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2017 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2017-302  2017-10-29    2017  302  Sun  0     3.731   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.094   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  95.121   0.000   0.000   0.000   0.000  27.032   0.221   0.000   0.249   0.576   0.013
2017-303  2017-10-30    2017  303  Mon  1     3.439   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.085   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  95.121   0.000   0.000   0.000   0.000  27.032   0.221   0.000   0.249   0.576   0.013
2017-304  2017-10-31    2017  304  Tue  2     3.643   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.089   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  95.121   0.000   0.000   0.000   0.000  27.032   0.221   0.000   0.249   0.576   0.013
2017-305  2017-11-01    2017  305  Wed  3     3.574   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.100   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  95.121   0.000   0.000   0.000   0.000  27.032   0.221   0.000   0.249   0.576   0.013
2017-306  2017-11-02    2017  306  Thu  4     3.289   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.085   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  95.121   0.000   0.000   0.000   0.000  27.032   0.221   0.000   0.249   0.576   0.013
2017-307  2017-11-03    2017  307  Fri  5     3.025   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.080   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  95.121   0.000   0.000   0.000   0.000  27.032   0.221   0.000   0.249   0.576   0.013
2017-308  2017-11-04    2017  308  Sat  6     3.249   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.077   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  95.121   0.000   0.000   0.000   0.000  27.032   0.221   0.000   0.249   0.576   0.013
2017-309  2017-11-05    2017  309  Sun  7     2.966   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.071   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  95.121   0.000   0.000   0.000   0.000  27.032   0.221   0.000   0.249   0.576   0.013
2017-310  2017-11-06    2017  310  Mon  8     3.138   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.091   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  95.121   0.000   0.000   0.000   0.000  27.032   0.221   0.000   0.249   0.576   0.013
2017-311  2017-11-07    2017  311  Tue  9     2.942   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.084   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  95.121   0.000   0.000   0.000   0.000  27.032   0.221   0.000   0.249   0.576   0.013
2017-312  2017-11-08    2017  312  Wed  10    2.969   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.085   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  95.121   0.000   0.000   0.000   0.000  27.032   0.221   0.000   0.249   0.576   0.013
