************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:52
Simulation start date: 1991-10-29
Simulation end date: 1991-11-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1991 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1991-302  1991-10-29    1991  302  Tue  0     3.961   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.102   0.000   0.000   0.000   0.000   1.000   1.000  16.296   0.000   0.000   0.000   3.614   0.000   0.000 122.153   0.000  97.722  79.735   0.000   0.000   0.000   0.000  42.418   0.347   0.000   0.234   0.519   0.005
1991-303  1991-10-30    1991  303  Wed  1     3.788   1.075   1.075   0.000   1.075   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.092   0.284   0.284   0.284   0.260   1.000   1.000  13.834   0.000   0.000   0.000   3.536   0.000   0.000 122.153   0.000  97.722  82.196   0.000   0.000   0.000   0.000  39.957   0.327   0.000   0.236   0.528   0.006
1991-304  1991-10-31    1991  304  Thu  2     4.425   2.148   2.148   0.000   2.148   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.112   0.486   0.486   0.486   0.437   1.000   1.000  15.982   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  80.048   0.000   0.000   0.000   0.000  42.105   0.345   0.000   0.234   0.520   0.005
1991-305  1991-11-01    1991  305  Fri  3     5.050   1.620   1.620   0.000   1.620   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.136   0.321   0.321   0.321   0.282   1.000   1.000  17.602   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  78.428   0.000   0.000   0.000   0.000  43.725   0.358   0.000   0.232   0.514   0.004
1991-306  1991-11-02    1991  306  Sat  4     4.899   0.921   0.921   0.000   0.921   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.134   0.188   0.188   0.188   0.166   1.000   1.000  18.524   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  77.507   0.000   0.000   0.000   0.000  44.646   0.365   0.000   0.231   0.510   0.004
1991-307  1991-11-03    1991  307  Sun  5     4.427   0.493   0.493   0.000   0.493   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.118   0.111   0.111   0.111   0.100   1.000   1.000  19.017   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  77.014   0.000   0.000   0.000   0.000  45.139   0.370   0.000   0.231   0.508   0.004
1991-308  1991-11-04    1991  308  Mon  6     4.008   0.283   0.283   0.000   0.283   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.099   0.071   0.071   0.071   0.064   1.000   1.000  19.299   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  76.731   0.000   0.000   0.000   0.000  45.422   0.372   0.000   0.231   0.507   0.004
1991-309  1991-11-05    1991  309  Tue  7     4.190   0.204   0.204   0.000   0.204   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.112   0.049   0.049   0.049   0.044   1.000   1.000  19.504   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  76.527   0.000   0.000   0.000   0.000  45.626   0.374   0.000   0.230   0.507   0.004
1991-310  1991-11-06    1991  310  Wed  8     3.577   0.113   0.113   0.000   0.113   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.087   0.032   0.032   0.032   0.029   1.000   1.000  19.617   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  76.413   0.000   0.000   0.000   0.000  45.740   0.374   0.000   0.230   0.506   0.004
1991-311  1991-11-07    1991  311  Thu  9     3.734   0.086   0.086   0.000   0.086   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.093   0.023   0.023   0.023   0.021   1.000   1.000  19.703   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  76.328   0.000   0.000   0.000   0.000  45.825   0.375   0.000   0.230   0.506   0.004
1991-312  1991-11-08    1991  312  Fri  10    3.196   0.051   0.051   0.000   0.051   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.084   0.016   0.016   0.016   0.015   1.000   1.000  19.754   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  76.276   0.000   0.000   0.000   0.000  45.877   0.376   0.000   0.230   0.506   0.004
