"DEKOY","SRAD_mean","SRAD_sum","SRAD_sd","TMAX_mean","TMAX_sum","TMAX_sd","TMIN_mean","TMIN_sum","TMIN_sd","TAVG_mean","TAVG_sum","TAVG_sd","VAPR_mean","VAPR_sum","VAPR_sd","TDEW_mean","TDEW_sum","TDEW_sd","RHMAX_mean","RHMAX_sum","RHMAX_sd","WNDSP_mean","WNDSP_sum","WNDSP_sd","RAIN_mean","RAIN_sum","RAIN_sd","ETREF_mean","ETREF_sum","ETREF_sd","YEAR_mean","YEAR_sum","YEAR_sd","MONTH_mean","MONTH_sum","MONTH_sd","DEKAD_mean","DEKAD_sum","DEKAD_sd"
"2018-01-01",13.502960064,135.02960064,0.988145743378835,22.78105,227.8105,1.69789206387083,8.14130000000003,81.4130000000003,1.10388638404906,14.17637,141.7637,1.05435070072112,1.26096934971357,12.6096934971357,0.139845505114237,17.5265295238887,175.265295238887,1.68961146808162,79.308217,793.08217,9.89213719855438,2.3212668,23.212668,0.918339316036507,0,0,0,2.517,25.17,0.855856296348867,2018,20180,0,1,10,0,1,10,0
"2018-01-02",14.730548544,147.30548544,0.412131197475898,26.53264,265.3264,1.0441099954826,9.85947000000001,98.5947000000001,0.851985642875895,16.79354,167.9354,0.630295555363602,1.29277895986142,12.9277895986142,0.119667290216702,20.5809751355841,205.809751355841,1.78816444823399,69.560547,695.60547,5.06380042831041,3.0004891,30.004891,0.511529755553857,0,0,0,3.578,35.78,0.355646516142707,2018,20180,0,1,10,0,2,20,0
"2018-01-03",14.1248475490909,155.37332304,3.27649315733414,23.5742818181818,259.3171,3.02972169606985,10.6133181818182,116.7465,1.65763450725313,16.0910090909091,177.0011,1.79706733399422,1.42565029130322,15.6821532043354,0.0808144752662894,21.3835248189417,235.218773008359,2.11879213090885,79.1685018181818,870.85352,8.72525948868206,2.80552809090909,30.860809,1.13477759348134,0,0,0,2.81181818181818,30.93,1.06940000170019,2018,22198,0,1,11,0,3,33,0
"2018-02-01",16.983046656,169.83046656,1.15049043142252,25.42461,254.2461,1.21502632568644,10.3217,103.217,1.86895191662778,16.91194,169.1194,1.28989234882433,1.1762287923111,11.762287923111,0.179559892634735,19.2052556303462,192.052556303462,3.42940225078066,62.536638,625.36638,4.13094151849134,2.6377806,26.377806,0.442679662588398,0,0,0,3.757,37.57,0.346283442027225,2018,20180,0,2,20,0,1,10,0
"2018-02-02",16.9886808,169.886808,3.10755621730035,25.41317,254.1317,2.54373423098579,12.43862,124.3862,1.22184148526358,18.43514,184.3514,1.03255816107375,1.52723274261696,15.2723274261696,0.124274631433841,24.8234858840863,248.234858840863,1.85803248156783,73.191576,731.91576,6.35964605553066,3.1384588,31.384588,0.870645976578285,0,0,0,3.535,35.35,0.735213498848388,2018,20180,0,2,20,0,2,20,0
"2018-02-03",17.9780688,143.8245504,1.70829973435139,29.754425,238.0354,0.891660535581948,16.9012625,135.2101,0.865991392133894,22.3161375,178.5291,0.430635530142867,1.94025801454758,15.5220641163806,0.0736879647807551,32.6692313991622,261.353851193298,0.944261490721923,73.028055,584.22444,2.29466109730516,2.62568075,21.005446,0.889569500848384,0,0,0,4.17,33.36,0.544924634369614,2018,16144,0,2,16,0,3,24,0
"2018-03-01",18.947020608,189.47020608,2.286807191806,30.66633,306.6633,1.19600302401141,16.13015,161.3015,1.62566889703217,22.65153,226.5153,0.930522491279913,1.72860059291406,17.2860059291406,0.161819152847106,31.1063257339258,311.063257339258,2.02280774067988,64.119535,641.19535,5.52286377600577,2.6647238,26.647238,0.716537550478193,0,0,0,4.824,48.24,0.781056264867576,2018,20180,0,3,30,0,1,10,0
"2018-03-02",21.467792448,214.67792448,0.873521865149534,33.26446,332.6446,1.33762754424059,17.63448,176.3448,1.30625366500283,24.75229,247.5229,0.897175377937769,1.71892592678117,17.1892592678117,0.228633300419833,33.1254540149832,331.254540149832,3.08450221611164,56.43768,564.3768,5.02608193925558,2.7339622,27.339622,0.406074705863288,0,0,0,5.888,58.88,0.384499674902333,2018,20180,0,3,30,0,2,20,0
"2018-03-03",22.1338498909091,243.4723488,2.29925136352923,34.2192636363636,376.4119,2.50887851091787,19.3702909090909,213.0732,0.8968515489807,26.2328545454545,288.5614,1.68335410259615,1.84722852091135,20.3195137300248,0.0873722849602168,35.9246609953263,395.171270948589,1.41638006488539,56.0559181818182,616.6151,7.02492340815018,2.84735445454545,31.320899,0.631840429499627,0,0,0,6.35090909090909,69.86,1.17441436082376,2018,22198,0,3,33,0,3,33,0
"2018-04-01",22.5230112,225.230112,0.960058773627745,35.46248,354.6248,1.60161666713494,21.8212,218.212,0.854082553907343,28.10306,281.0306,0.953246182729776,2.16303698075221,21.6303698075221,0.123439530600388,40.4922194729534,404.922194729534,1.33855914553471,58.359244,583.59244,4.70164392464357,2.241776,22.41776,0.516186203207073,0,0,0,6.099,60.99,0.480611878523386,2018,20180,0,4,40,0,1,10,0
"2018-04-02",23.861799072,238.61799072,1.81489296752269,37.61348,376.1348,2.76497358588951,22.1999,221.999,2.26405236148715,29.33918,293.3918,2.44286065814469,1.59148340552309,15.9148340552309,0.251626106882192,36.5545018094505,365.545018094505,2.3051623266457,41.458505,414.58505,12.2528617325761,3.1440405,31.440405,1.0239112907165,0,0,0,8.264,82.64,1.80710449799304,2018,20180,0,4,40,0,2,20,0
