************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:51:19
Simulation start date: 2005-10-29
Simulation end date: 2005-11-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2005 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2005-302  2005-10-29    2005  302  Sat  0     4.783   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.116   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2005-303  2005-10-30    2005  303  Sun  1     3.958   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.092   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2005-304  2005-10-31    2005  304  Mon  2     4.021   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.104   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2005-305  2005-11-01    2005  305  Tue  3     3.981   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.114   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2005-306  2005-11-02    2005  306  Wed  4     4.014   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.123   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2005-307  2005-11-03    2005  307  Thu  5     3.432   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.095   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2005-308  2005-11-04    2005  308  Fri  6     3.359   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.088   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2005-309  2005-11-05    2005  309  Sat  7     4.025   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.111   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2005-310  2005-11-06    2005  310  Sun  8     4.821   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.134   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2005-311  2005-11-07    2005  311  Mon  9     4.479   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.129   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2005-312  2005-11-08    2005  312  Tue  10    3.949   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.113   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
