************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:51:17
Simulation start date: 2001-10-29
Simulation end date: 2001-11-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2001 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2001-302  2001-10-29    2001  302  Mon  0     3.734   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.089   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.061   0.000   0.000  43.061  43.004  18.016   0.295   1.000   0.240   0.543   0.007
2001-303  2001-10-30    2001  303  Tue  1     3.719   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.083   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.061   0.000   0.000  43.061  43.004  18.016   0.295   1.000   0.240   0.543   0.007
2001-304  2001-10-31    2001  304  Wed  2     3.950   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.091   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.061   0.000   0.000  43.061  43.004  18.016   0.295   1.000   0.240   0.543   0.007
2001-305  2001-11-01    2001  305  Thu  3     4.635   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.107   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.061   0.000   0.000  43.061  43.004  18.016   0.295   1.000   0.240   0.543   0.007
2001-306  2001-11-02    2001  306  Fri  4     4.538   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.098   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.061   0.000   0.000  43.061  43.004  18.016   0.295   1.000   0.240   0.543   0.007
2001-307  2001-11-03    2001  307  Sat  5     5.323   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.143   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.061   0.000   0.000  43.061  43.004  18.016   0.295   1.000   0.240   0.543   0.007
2001-308  2001-11-04    2001  308  Sun  6     4.046   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.097   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.061   0.000   0.000  43.061  43.004  18.016   0.295   1.000   0.240   0.543   0.007
2001-309  2001-11-05    2001  309  Mon  7     3.549   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.085   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.061   0.000   0.000  43.061  43.004  18.016   0.295   1.000   0.240   0.543   0.007
2001-310  2001-11-06    2001  310  Tue  8     3.782   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.115   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.061   0.000   0.000  43.061  43.004  18.016   0.295   1.000   0.240   0.543   0.007
2001-311  2001-11-07    2001  311  Wed  9     3.888   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.103   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.061   0.000   0.000  43.061  43.004  18.016   0.295   1.000   0.240   0.543   0.007
2001-312  2001-11-08    2001  312  Thu  10    4.034   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.108   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  43.061   0.000   0.000  43.061  43.004  18.016   0.295   1.000   0.240   0.543   0.007
