************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:51:20
Simulation start date: 2011-10-29
Simulation end date: 2011-11-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2011 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2011-302  2011-10-29    2011  302  Sat  0     3.947   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.093   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.561   0.000   0.000  51.561  43.004   9.516   0.156   1.000   0.257   0.606   0.021
2011-303  2011-10-30    2011  303  Sun  1     4.211   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.103   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.561   0.000   0.000  51.561  43.004   9.516   0.156   1.000   0.257   0.606   0.021
2011-304  2011-10-31    2011  304  Mon  2     3.438   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.077   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.561   0.000   0.000  51.561  43.004   9.516   0.156   1.000   0.257   0.606   0.021
2011-305  2011-11-01    2011  305  Tue  3     3.994   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.096   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.561   0.000   0.000  51.561  43.004   9.516   0.156   1.000   0.257   0.606   0.021
2011-306  2011-11-02    2011  306  Wed  4     4.127   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.101   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.561   0.000   0.000  51.561  43.004   9.516   0.156   1.000   0.257   0.606   0.021
2011-307  2011-11-03    2011  307  Thu  5     3.693   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.091   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.561   0.000   0.000  51.561  43.004   9.516   0.156   1.000   0.257   0.606   0.021
2011-308  2011-11-04    2011  308  Fri  6     3.775   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.098   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.561   0.000   0.000  51.561  43.004   9.516   0.156   1.000   0.257   0.606   0.021
2011-309  2011-11-05    2011  309  Sat  7     4.482   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.128   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.561   0.000   0.000  51.561  43.004   9.516   0.156   1.000   0.257   0.606   0.021
2011-310  2011-11-06    2011  310  Sun  8     5.098   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.141   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.561   0.000   0.000  51.561  43.004   9.516   0.156   1.000   0.257   0.606   0.021
2011-311  2011-11-07    2011  311  Mon  9     4.241   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.107   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.561   0.000   0.000  51.561  43.004   9.516   0.156   1.000   0.257   0.606   0.021
2011-312  2011-11-08    2011  312  Tue  10    3.962   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.096   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.561   0.000   0.000  51.561  43.004   9.516   0.156   1.000   0.257   0.606   0.021
