************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:51:15
Simulation start date: 1992-11-08
Simulation end date: 1993-03-13
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1992 Wheat -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1992-313  1992-11-08    1992  313  Sun  0     4.581   0.687   0.687   0.687   0.000   0.723   1.000   0.050   0.200   0.000   0.150   0.150   1.195   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431   0.000  17.651  18.737   0.000   0.000   0.000   0.000   5.694   0.233   0.000   0.248   0.571   0.012
1992-314  1992-11-09    1992  314  Mon  1     2.971   0.446   0.446   0.446   0.000   0.732   1.000   0.050   0.222   0.000   0.150   0.150   1.162   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  27.145   0.000  19.875  18.291   0.000   0.000   0.000   0.000   6.139   0.226   0.000   0.236   0.528   0.006
1992-315  1992-11-10    1992  315  Tue  2     3.888   0.583   0.583   0.583   0.000   0.727   1.000   0.050   0.244   0.000   0.150   0.150   1.175   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  29.860   0.000  21.698  17.708   0.000   0.000   0.000   0.000   6.723   0.225   0.000   0.226   0.491   0.003
1992-316  1992-11-11    1992  316  Wed  3     2.945   0.442   0.442   0.442   0.000   0.732   1.000   0.050   0.267   0.000   0.150   0.150   1.154   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  32.574   0.000  23.855  17.266   0.000   0.000   0.000   0.000   7.164   0.220   0.000   0.219   0.462   0.002
1992-317  1992-11-12    1992  317  Thu  4     3.617   0.543   0.543   0.543   0.000   0.728   1.000   0.050   0.289   0.000   0.150   0.150   1.159   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  35.289   0.000  25.701  16.724   0.000   0.000   0.000   0.000   7.707   0.218   0.000   0.212   0.437   0.001
1992-318  1992-11-13    1992  318  Fri  5     2.836   0.425   0.425   0.425   0.000   0.733   1.000   0.050   0.311   0.000   0.150   0.150   1.151   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  38.003   0.000  27.856  16.298   0.000   0.000   0.000   0.000   8.132   0.214   0.000   0.206   0.416   0.001
1992-319  1992-11-14    1992  319  Sat  6     3.084   0.463   0.463   0.463   0.000   0.731   1.000   0.050   0.333   0.000   0.150   0.150   1.152   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  40.718   0.000  29.785  15.836   0.000   0.000   0.000   0.000   8.595   0.211   0.000   0.201   0.398   0.000
1992-320  1992-11-15    1992  320  Sun  7     3.253   0.488   0.488   0.488   0.000   0.730   1.000   0.050   0.356   0.000   0.150   0.150   1.157   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  43.432   0.000  31.726  15.348   0.000   0.000   0.000   0.000   9.083   0.209   0.000   0.197   0.382   0.000
1992-321  1992-11-16    1992  321  Mon  8     2.780   0.417   0.417   0.417   0.000   0.733   1.000   0.050   0.378   0.000   0.150   0.150   1.149   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  46.147   0.000  33.840  14.931   0.000   0.000   0.000   0.000   9.500   0.206   0.000   0.193   0.368   0.000
1992-322  1992-11-17    1992  322  Tue  9     2.649   0.397   0.397   0.397   0.000   0.734   1.000   0.050   0.400   0.000   0.150   0.150   1.150   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  48.861   0.000  35.869  14.534   0.000   0.000   0.000   0.000   9.897   0.203   0.000   0.190   0.356   0.000
1992-323  1992-11-18    1992  323  Wed  10    2.837   0.426   0.426   0.426   0.000   0.733   1.000   0.050   0.422   0.000   0.150   0.150   1.151   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  51.576   0.000  37.804  14.108   0.000   0.000   0.000   0.000  10.323   0.200   0.000   0.187   0.345   0.000
