************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:50:26
Simulation start date: 1990-10-24
Simulation end date: 1990-11-03
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1990 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1990-297  1990-10-24    1990  297  Wed  0     4.463   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.111   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  49.061   0.000   0.000  49.061  43.004  12.016   0.197   1.000   0.252   0.588   0.016
1990-298  1990-10-25    1990  298  Thu  1     4.213   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.108   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  49.061   0.000   0.000  49.061  43.004  12.016   0.197   1.000   0.252   0.588   0.016
1990-299  1990-10-26    1990  299  Fri  2     4.050   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.097   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  49.061   0.000   0.000  49.061  43.004  12.016   0.197   1.000   0.252   0.588   0.016
1990-300  1990-10-27    1990  300  Sat  3     4.610   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.122   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  49.061   0.000   0.000  49.061  43.004  12.016   0.197   1.000   0.252   0.588   0.016
1990-301  1990-10-28    1990  301  Sun  4     4.152   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.099   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  49.061   0.000   0.000  49.061  43.004  12.016   0.197   1.000   0.252   0.588   0.016
1990-302  1990-10-29    1990  302  Mon  5     3.797   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.091   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  49.061   0.000   0.000  49.061  43.004  12.016   0.197   1.000   0.252   0.588   0.016
1990-303  1990-10-30    1990  303  Tue  6     3.720   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.091   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  49.061   0.000   0.000  49.061  43.004  12.016   0.197   1.000   0.252   0.588   0.016
1990-304  1990-10-31    1990  304  Wed  7     4.341   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.110   0.000   0.000   0.000   0.000   1.000   1.000  18.849   0.000   0.000   0.000   1.060   0.000   0.000  61.077  43.004 144.816  50.121   0.000   0.000  50.121  43.004  10.956   0.179   1.000   0.254   0.596   0.018
1990-305  1990-11-01    1990  305  Thu  8     3.936   0.330   0.330   0.000   0.330   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.101   0.084   0.084   0.084   0.076   1.000   1.000  19.179   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  49.791   0.000   0.000  49.791  43.004  11.286   0.185   1.000   0.253   0.593   0.017
1990-306  1990-11-02    1990  306  Fri  9     4.517   0.265   0.265   0.000   0.265   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.120   0.059   0.059   0.059   0.052   1.000   1.000  19.445   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  49.525   0.000   0.000  49.525  43.004  11.551   0.189   1.000   0.253   0.591   0.016
1990-307  1990-11-03    1990  307  Sat  10    4.868   0.183   0.183   0.000   0.183   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.125   0.038   0.038   0.038   0.033   1.000   1.000  19.628   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  49.342   0.000   0.000  49.342  43.004  11.734   0.192   1.000   0.253   0.590   0.016
