************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:50:28
Simulation start date: 2003-10-24
Simulation end date: 2003-11-03
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2003 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2003-297  2003-10-24    2003  297  Fri  0     3.767   4.070   4.070   0.000   4.070   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.080   1.080   1.080   1.080   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.160  61.077  43.004 144.816  70.242   0.000   9.165  61.077  33.839   0.000   0.000   0.787   0.294   0.746   0.160
2003-298  2003-10-25    2003  298  Sat  1     3.532   3.814   3.814   0.000   3.814   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.080   1.080   1.080   1.080   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.106  61.077  43.004 144.816  66.268   0.000   5.192  61.077  37.812   0.000   0.000   0.879   0.286   0.717   0.106
2003-299  2003-10-26    2003  299  Sun  2     3.614   3.917   3.917   0.000   3.917   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.084   1.084   1.084   1.084   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.069  61.077  43.004 144.816  62.246   0.000   1.170  61.077  41.834   0.000   0.000   0.973   0.278   0.686   0.069
2003-300  2003-10-27    2003  300  Mon  3     3.520   3.807   3.807   0.000   3.807   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.082   1.082   1.082   1.082   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.370   0.000   0.000  58.370  43.004   2.706   0.044   1.000   0.271   0.657   0.045
2003-301  2003-10-28    2003  301  Tue  4     3.448   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.078   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.370   0.000   0.000  58.370  43.004   2.706   0.044   1.000   0.271   0.657   0.045
2003-302  2003-10-29    2003  302  Wed  5     4.066   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.100   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.370   0.000   0.000  58.370  43.004   2.706   0.044   1.000   0.271   0.657   0.045
2003-303  2003-10-30    2003  303  Thu  6     4.032   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.104   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.370   0.000   0.000  58.370  43.004   2.706   0.044   1.000   0.271   0.657   0.045
2003-304  2003-10-31    2003  304  Fri  7     4.006   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.105   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.370   0.000   0.000  58.370  43.004   2.706   0.044   1.000   0.271   0.657   0.045
2003-305  2003-11-01    2003  305  Sat  8     4.069   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.103   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.370   0.000   0.000  58.370  43.004   2.706   0.044   1.000   0.271   0.657   0.045
2003-306  2003-11-02    2003  306  Sun  9     4.434   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.111   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.370   0.000   0.000  58.370  43.004   2.706   0.044   1.000   0.271   0.657   0.045
2003-307  2003-11-03    2003  307  Mon  10    4.357   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.114   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.370   0.000   0.000  58.370  43.004   2.706   0.044   1.000   0.271   0.657   0.045
