************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:50:33
Simulation start date: 2017-10-24
Simulation end date: 2017-11-03
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2017 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2017-297  2017-10-24    2017  297  Tue  0     5.721   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.122   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2017-298  2017-10-25    2017  298  Wed  1     4.132   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.085   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2017-299  2017-10-26    2017  299  Thu  2     4.384   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.103   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2017-300  2017-10-27    2017  300  Fri  3     3.896   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.090   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2017-301  2017-10-28    2017  301  Sat  4     3.846   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.087   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2017-302  2017-10-29    2017  302  Sun  5     3.731   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.094   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2017-303  2017-10-30    2017  303  Mon  6     3.439   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.085   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2017-304  2017-10-31    2017  304  Tue  7     3.643   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.089   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2017-305  2017-11-01    2017  305  Wed  8     3.574   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.100   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2017-306  2017-11-02    2017  306  Thu  9     3.289   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.085   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
2017-307  2017-11-03    2017  307  Fri  10    3.025   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.080   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  51.061   0.000   0.000  51.061  43.004  10.016   0.164   1.000   0.256   0.603   0.020
