************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:50:26
Simulation start date: 1995-10-24
Simulation end date: 1995-11-03
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1995 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1995-297  1995-10-24    1995  297  Tue  0     5.551   6.311   6.311   0.000   6.311   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.137   1.137   1.137   1.137   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   3.776  61.077  43.004 144.816  98.669   0.000  37.593  61.077   5.411   0.000   0.000   0.126   0.351   0.959   3.776
1995-298  1995-10-25    1995  298  Wed  1     4.882   5.422   5.422   0.000   5.422   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.111   1.111   1.111   1.111   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   1.179  61.077  43.004 144.816  89.471   0.000  28.395  61.077  14.609   0.000   0.000   0.340   0.333   0.890   1.179
1995-299  1995-10-26    1995  299  Thu  2     5.080   5.677   5.677   0.000   5.677   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.117   1.117   1.117   1.117   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.568  61.077  43.004 144.816  82.615   0.000  21.539  61.077  21.465   0.000   0.000   0.499   0.319   0.839   0.568
1995-300  1995-10-27    1995  300  Fri  3     5.156   5.798   5.798   0.000   5.798   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.125   1.125   1.125   1.125   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.296  61.077  43.004 144.816  76.249   0.000  15.173  61.077  27.831   0.000   0.000   0.647   0.306   0.791   0.296
1995-301  1995-10-28    1995  301  Sat  4     3.897   4.222   4.222   0.000   4.222   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.083   1.083   1.083   1.083   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.186  61.077  43.004 144.816  71.731   0.000  10.655  61.077  32.349   0.000   0.000   0.752   0.297   0.758   0.186
1995-302  1995-10-29    1995  302  Sun  5     5.144   5.755   5.755   0.000   5.755   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.119   1.119   1.119   1.119   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.101  61.077  43.004 144.816  65.791   0.000   4.714  61.077  38.290   0.000   0.000   0.890   0.285   0.713   0.101
1995-303  1995-10-30    1995  303  Mon  6     4.620   5.162   5.162   0.000   5.162   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.117   1.117   1.117   1.117   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  60.528   0.000   0.000  60.528  43.004   0.549   0.009   1.000   0.275   0.674   0.057
1995-304  1995-10-31    1995  304  Tue  7     4.215   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.108   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  60.528   0.000   0.000  60.528  43.004   0.549   0.009   1.000   0.275   0.674   0.057
1995-305  1995-11-01    1995  305  Wed  8     4.692   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.123   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  60.528   0.000   0.000  60.528  43.004   0.549   0.009   1.000   0.275   0.674   0.057
1995-306  1995-11-02    1995  306  Thu  9     5.033   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.135   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  60.528   0.000   0.000  60.528  43.004   0.549   0.009   1.000   0.275   0.674   0.057
1995-307  1995-11-03    1995  307  Fri  10    4.676   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.140   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  60.528   0.000   0.000  60.528  43.004   0.549   0.009   1.000   0.275   0.674   0.057
