************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:50:26
Simulation start date: 1992-10-24
Simulation end date: 1992-11-03
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 1992 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
1992-298  1992-10-24    1992  298  Sat  0     5.399   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.124   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  40.560   0.000   0.000  40.560  43.004  20.516   0.336   1.000   0.235   0.524   0.005
1992-299  1992-10-25    1992  299  Sun  1     4.031   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.087   0.000   0.000   0.000   0.000   1.000   1.000  19.772   0.000   0.000   0.000   0.137   0.000   0.000  61.077  43.004 144.816  40.697   0.000   0.000  40.697  43.004  20.379   0.334   1.000   0.235   0.525   0.005
1992-300  1992-10-26    1992  300  Mon  2     4.696   0.051   0.051   0.000   0.051   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.104   0.011   0.011   0.011   0.010   1.000   1.000  19.823   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  40.646   0.000   0.000  40.646  43.004  20.430   0.335   1.000   0.235   0.524   0.005
1992-301  1992-10-27    1992  301  Tue  3     4.286   0.029   0.029   0.000   0.029   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.101   0.007   0.007   0.007   0.006   1.000   1.000  19.853   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  40.617   0.000   0.000  40.617  43.004  20.459   0.335   1.000   0.235   0.524   0.005
1992-302  1992-10-28    1992  302  Wed  4     3.575   0.016   0.016   0.000   0.016   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.084   0.004   0.004   0.004   0.004   1.000   1.000  19.868   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  40.601   0.000   0.000  40.601  43.004  20.475   0.335   1.000   0.235   0.524   0.005
1992-303  1992-10-29    1992  303  Thu  5     4.075   0.013   0.013   0.000   0.013   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.099   0.003   0.003   0.003   0.003   1.000   1.000  19.882   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  40.588   0.000   0.000  40.588  43.004  20.488   0.335   1.000   0.235   0.524   0.005
1992-304  1992-10-30    1992  304  Fri  6     4.107   0.009   0.009   0.000   0.009   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.100   0.002   0.002   0.002   0.002   1.000   1.000  19.891   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  40.579   0.000   0.000  40.579  43.004  20.497   0.336   1.000   0.235   0.524   0.005
1992-305  1992-10-31    1992  305  Sat  7     3.363   0.005   0.005   0.000   0.005   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.075   0.001   0.001   0.001   0.001   1.000   1.000  19.895   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  40.574   0.000   0.000  40.574  43.004  20.502   0.336   1.000   0.235   0.524   0.005
1992-306  1992-11-01    1992  306  Sun  8     3.305   0.004   0.004   0.000   0.004   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.074   0.001   0.001   0.001   0.001   1.000   1.000  19.899   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  40.571   0.000   0.000  40.571  43.004  20.506   0.336   1.000   0.235   0.524   0.005
1992-307  1992-11-02    1992  307  Mon  9     3.621   0.003   0.003   0.000   0.003   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.084   0.001   0.001   0.001   0.001   1.000   1.000  19.902   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  40.568   0.000   0.000  40.568  43.004  20.509   0.336   1.000   0.235   0.524   0.005
1992-308  1992-11-03    1992  308  Tue  10    3.548   0.002   0.002   0.000   0.002   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.086   0.001   0.001   0.001   0.001   1.000   1.000  19.904   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  40.566   0.000   0.000  40.566  43.004  20.511   0.336   1.000   0.235   0.524   0.005
