************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:50:33
Simulation start date: 2013-10-24
Simulation end date: 2013-11-03
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2013 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2013-297  2013-10-24    2013  297  Thu  0     4.019   4.369   4.369   0.000   4.369   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.087   1.087   1.087   1.087   1.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.120   0.000   0.000  58.120  43.004   2.957   0.048   1.000   0.270   0.655   0.044
2013-298  2013-10-25    2013  298  Fri  1     4.013   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.084   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.120   0.000   0.000  58.120  43.004   2.957   0.048   1.000   0.270   0.655   0.044
2013-299  2013-10-26    2013  299  Sat  2     3.753   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.078   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.120   0.000   0.000  58.120  43.004   2.957   0.048   1.000   0.270   0.655   0.044
2013-300  2013-10-27    2013  300  Sun  3     4.425   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.099   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.120   0.000   0.000  58.120  43.004   2.957   0.048   1.000   0.270   0.655   0.044
2013-301  2013-10-28    2013  301  Mon  4     5.215   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.123   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.120   0.000   0.000  58.120  43.004   2.957   0.048   1.000   0.270   0.655   0.044
2013-302  2013-10-29    2013  302  Tue  5     4.901   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.114   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.120   0.000   0.000  58.120  43.004   2.957   0.048   1.000   0.270   0.655   0.044
2013-303  2013-10-30    2013  303  Wed  6     3.839   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.081   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.120   0.000   0.000  58.120  43.004   2.957   0.048   1.000   0.270   0.655   0.044
2013-304  2013-10-31    2013  304  Thu  7     3.523   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.098   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.120   0.000   0.000  58.120  43.004   2.957   0.048   1.000   0.270   0.655   0.044
2013-305  2013-11-01    2013  305  Fri  8     3.420   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.093   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.120   0.000   0.000  58.120  43.004   2.956   0.048   1.000   0.270   0.655   0.044
2013-306  2013-11-02    2013  306  Sat  9     4.307   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.122   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.120   0.000   0.000  58.120  43.004   2.956   0.048   1.000   0.270   0.655   0.044
2013-307  2013-11-03    2013  307  Sun  10    4.839   0.000   0.000   0.000   0.000   0.800   0.000   1.000   0.500   0.000   0.000   0.000   1.134   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  61.077  43.004 144.816  58.120   0.000   0.000  58.120  43.004   2.956   0.048   1.000   0.270   0.655   0.044
