************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:50:32
Simulation start date: 2009-11-03
Simulation end date: 2010-03-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2009 Wheat -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2009-307  2009-11-03    2009  307  Tue  0     3.272   0.491   0.491   0.491   0.000   0.730   1.000   0.050   0.200   0.000   0.150   0.150   1.152   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  24.431   0.000  17.843  22.333   0.000   0.000   0.000   0.000   2.097   0.086   0.000   0.266   0.638   0.034
2009-308  2009-11-04    2009  308  Wed  1     3.418   0.513   0.513   0.513   0.000   0.729   1.000   0.050   0.222   0.000   0.150   0.150   1.152   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  27.145   0.000  19.802  21.821   0.000   0.000   0.000   0.000   2.610   0.096   0.000   0.252   0.588   0.016
2009-309  2009-11-05    2009  309  Thu  2     3.509   0.526   0.526   0.526   0.000   0.729   1.000   0.050   0.244   0.000   0.150   0.150   1.153   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  29.860   0.000  21.766  21.294   0.000   0.000   0.000   0.000   3.136   0.105   0.000   0.241   0.546   0.008
2009-310  2009-11-06    2009  310  Fri  3     3.319   0.498   0.498   0.498   0.000   0.730   1.000   0.050   0.267   0.000   0.150   0.150   1.152   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  32.574   0.000  23.782  20.797   0.000   0.000   0.000   0.000   3.634   0.112   0.000   0.232   0.512   0.004
2009-311  2009-11-07    2009  311  Sat  4     3.101   0.465   0.465   0.465   0.000   0.731   1.000   0.050   0.289   0.000   0.150   0.150   1.149   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  35.289   0.000  25.810  20.331   0.000   0.000   0.000   0.000   4.099   0.116   0.000   0.224   0.484   0.003
2009-312  2009-11-08    2009  312  Sun  5     3.637   0.545   0.545   0.545   0.000   0.728   1.000   0.050   0.311   0.000   0.150   0.150   1.157   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  38.003   0.000  27.673  19.786   0.000   0.000   0.000   0.000   4.645   0.122   0.000   0.217   0.458   0.002
2009-313  2009-11-09    2009  313  Mon  6     4.154   0.623   0.623   0.623   0.000   0.725   1.000   0.050   0.333   0.000   0.150   0.150   1.174   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  40.718   0.000  29.524  19.163   0.000   0.000   0.000   0.000   5.268   0.129   0.000   0.211   0.435   0.001
2009-314  2009-11-10    2009  314  Tue  7     3.955   0.593   0.593   0.593   0.000   0.726   1.000   0.050   0.356   0.000   0.150   0.150   1.164   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  43.432   0.000  31.544  18.570   0.000   0.000   0.000   0.000   5.861   0.135   0.000   0.206   0.416   0.001
2009-315  2009-11-11    2009  315  Wed  8     4.061   0.609   0.609   0.609   0.000   0.726   1.000   0.050   0.378   0.000   0.150   0.150   1.170   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  46.147   0.000  33.486  17.961   0.000   0.000   0.000   0.000   6.470   0.140   0.000   0.201   0.398   0.000
2009-316  2009-11-12    2009  316  Thu  9     2.991   0.449   0.449   0.449   0.000   0.732   1.000   0.050   0.400   0.000   0.150   0.150   1.159   0.150   0.150   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000  48.861   0.000  35.769  17.512   0.000   0.000   0.000   0.000   6.918   0.142   0.000   0.198   0.384   0.000
